dataset,size,key,elapsed,delta,target_cost
NK,25,solve_ftapas_70,0.030663013458251953,0.0,7978
ZKW,4,solve_ftapas_30,0.00031495094299316406,31037.0,31037
ZKW,20,solve_ftapas_15,0.02302861213684082,0.0,6629
NK,20,branch_bound,0.18697714805603027,0.0,17007
ZKC,27,greedy_simple,5.316734313964844e-05,1070.0,19456
NK,20,solve_ftapas_70,0.00797724723815918,0.0,13238
ZKC,10,greedy_simple,3.0279159545898438e-05,428.0,9719
ZKC,22,greedy_redux,7.557868957519531e-05,1387.0,20496
ZKW,22,greedy_redux,5.054473876953125e-05,0.0,4049
ZKW,15,solve_ftapas_50,0.0027458667755126953,0.0,6107
ZKW,10,greedy_redux,6.794929504394531e-05,0.0,2979
ZKC,22,branch_bound,4.4126996994018555,0.0,21832
ZKC,10,solve_ftapas_15,0.00827932357788086,10.0,9776
ZKC,4,greedy_simple,2.7418136596679688e-05,0.0,3962
NK,20,solve_ftapas_15,0.06376028060913086,0.0,11561
ZKC,27,greedy_simple,5.054473876953125e-05,532.0,19671
ZKW,10,solve_ftapas_70,0.0018815994262695312,0.0,2220
ZKC,10,solve_ftapas_50,0.001859903335571289,0.0,7669
NK,27,solve_ftapas_15,0.15571308135986328,0.0,21660
NK,27,dynamic_weight,0.9624500274658203,0.0,6618
ZKC,22,greedy_simple,4.887580871582031e-05,948.0,20210
ZKC,15,greedy_simple,4.0531158447265625e-05,630.0,12761
ZKW,4,dynamic_cost,2.6226043701171875e-05,0.0,1124
NK,4,solve_ftapas_50,0.00029015541076660156,0.0,4047
ZKC,27,solve_ftapas_15,0.1945040225982666,9.0,25997
NK,27,solve_ftapas_50,0.027739286422729492,34.0,23574
ZKW,4,solve_ftapas_50,0.0003631114959716797,0.0,5153
ZKW,4,dynamic_weight,0.02275371551513672,0.0,1770
ZKC,20,greedy_simple,8.249282836914062e-05,121.0,16964
NK,15,dynamic_cost,0.009688138961791992,0.0,22810
NK,4,solve_ftapas_70,0.0003235340118408203,1125.0,4899
NK,27,solve_ftapas_70,0.030361652374267578,0.0,9361
ZKC,27,dynamic_cost,0.06902384757995605,0.0,22890
ZKC,15,branch_bound,0.06512665748596191,0.0,13598
NK,15,branch_bound,0.017459630966186523,0.0,12068
ZKC,10,greedy_redux,5.269050598144531e-05,402.0,6819
ZKC,4,greedy_redux,4.38690185546875e-05,1948.0,4881
ZKW,25,dynamic_weight,1.775653600692749,0.0,3818
ZKC,15,solve_ftapas_15,0.026964426040649414,0.0,13662
NK,20,solve_ftapas_15,0.07326030731201172,0.0,11552
NK,10,branch_bound,0.001211404800415039,0.0,9377
ZKC,4,greedy_simple,7.772445678710938e-05,0.0,3440
NK,15,solve_ftapas_70,0.005434751510620117,0.0,15581
ZKC,4,greedy_redux,2.8371810913085938e-05,724.0,3381
NK,27,greedy_simple,4.982948303222656e-05,0.0,13288
NK,27,solve_ftapas_70,0.03599190711975098,0.0,31710
NK,25,solve_ftapas_70,0.0330045223236084,0.0,22016
ZKC,10,solve_ftapas_15,0.007745504379272461,0.0,9440
ZKC,25,solve_ftapas_70,0.019000768661499023,117.0,22589
NK,27,solve_ftapas_70,0.03301644325256348,0.0,29715
ZKC,27,dynamic_cost,0.07505393028259277,0.0,23427
ZKC,22,solve_ftapas_15,0.04946494102478027,3.0,19786
ZKC,10,solve_ftapas_15,0.007982015609741211,0.0,8969
NK,25,solve_ftapas_70,0.018308639526367188,33.0,16348
ZKC,10,dynamic_cost,0.0017857551574707031,0.0,8612
NK,4,solve_ftapas_30,0.0003108978271484375,0.0,0
ZKW,27,solve_ftapas_15,0.09982037544250488,0.0,4856
NK,10,branch_bound,0.0016300678253173828,0.0,10645
NK,4,dynamic_cost,3.123283386230469e-05,0.0,2606
ZKW,22,branch_bound,0.0013966560363769531,0.0,4377
ZKC,4,dynamic_cost,6.604194641113281e-05,0.0,3070
NK,22,dynamic_weight,0.8199706077575684,0.0,11944
NK,27,greedy_redux,6.556510925292969e-05,0.0,21916
ZKC,25,solve_ftapas_50,0.045040130615234375,47.0,22766
ZKC,4,dynamic_cost,7.677078247070312e-05,0.0,2665
NK,15,solve_ftapas_15,0.021659374237060547,382.0,22314
NK,10,greedy_simple,3.0040740966796875e-05,0.0,7189
NK,15,branch_bound,0.002270936965942383,0.0,21292
NK,25,dynamic_weight,1.6400458812713623,0.0,19885
NK,15,solve_ftapas_70,0.007031917572021484,0.0,13033
ZKC,20,solve_ftapas_30,0.03690934181213379,35.0,18053
NK,25,branch_bound,0.0007216930389404297,0.0,33344
ZKC,4,greedy_simple,2.1696090698242188e-05,0.0,3041
ZKC,10,branch_bound,0.004945993423461914,0.0,8293
NK,10,dynamic_cost,0.0002503395080566406,0.0,3161
ZKC,27,solve_ftapas_50,0.031192541122436523,0.0,24348
NK,22,greedy_simple,5.555152893066406e-05,0.0,27618
ZKC,10,greedy_redux,6.031990051269531e-05,1253.0,9102
ZKC,20,solve_ftapas_70,0.016765117645263672,0.0,18917
ZKW,4,dynamic_weight,0.045674800872802734,0.0,3671
ZKW,25,dynamic_cost,0.0006172657012939453,0.0,5945
ZKW,4,dynamic_cost,4.744529724121094e-05,0.0,7155
NK,20,solve_ftapas_70,0.014554023742675781,0.0,20845
NK,4,branch_bound,9.632110595703125e-05,0.0,2370
ZKC,15,branch_bound,0.07519173622131348,0.0,12115
NK,22,solve_ftapas_70,0.018167734146118164,0.0,19414
NK,4,greedy_redux,2.5272369384765625e-05,0.0,3231
ZKW,4,solve_ftapas_15,0.0005543231964111328,0.0,4669
ZKW,4,branch_bound,0.000125885009765625,0.0,2097
NK,22,solve_ftapas_15,0.1066899299621582,0.0,28982
ZKW,4,dynamic_weight,0.03826141357421875,0.0,3213
NK,22,solve_ftapas_15,0.0938863754272461,0.0,13882
ZKC,22,solve_ftapas_70,0.02151179313659668,85.0,18177
NK,25,branch_bound,0.9483387470245361,0.0,14110
ZKW,10,greedy_redux,4.363059997558594e-05,0.0,6365
ZKC,25,greedy_redux,0.00014829635620117188,378.0,17755
ZKC,4,solve_ftapas_15,0.0006077289581298828,0.0,2877
ZKC,25,solve_ftapas_15,0.1412982940673828,13.0,20868
ZKW,10,solve_ftapas_70,0.001264810562133789,10.0,8183
NK,27,solve_ftapas_15,0.1844775676727295,0.0,35985
NK,25,solve_ftapas_15,0.13991832733154297,0.0,31058
ZKW,15,greedy_redux,6.651878356933594e-05,290.0,13999
NK,22,solve_ftapas_15,0.08045697212219238,0.0,18239
ZKW,25,dynamic_weight,0.9020004272460938,0.0,2639
ZKC,25,dynamic_weight,1.599815845489502,0.0,20316
ZKW,4,greedy_redux,4.8160552978515625e-05,0.0,5081
NK,22,dynamic_weight,0.5683844089508057,0.0,6577
NK,27,greedy_simple,6.175041198730469e-05,328.0,32134
ZKC,20,solve_ftapas_30,0.04033350944519043,15.0,19155
NK,20,solve_ftapas_70,0.014326333999633789,0.0,19650
ZKC,20,greedy_simple,4.2438507080078125e-05,1099.0,16351
NK,10,solve_ftapas_30,0.0024878978729248047,0.0,6377
ZKC,10,greedy_simple,3.170967102050781e-05,658.0,10028
NK,22,greedy_redux,6.914138793945312e-05,0.0,16836
ZKC,25,dynamic_cost,0.035254478454589844,0.0,24122
ZKW,20,solve_ftapas_70,0.006487846374511719,128.0,7250
ZKC,10,branch_bound,0.002382993698120117,0.0,7540
ZKC,10,dynamic_cost,0.0024900436401367188,0.0,7927
NK,25,dynamic_cost,0.003431081771850586,0.0,13342
NK,4,dynamic_cost,0.00018715858459472656,0.0,5250
ZKW,22,branch_bound,0.0061855316162109375,0.0,8232
ZKC,27,greedy_redux,8.153915405273438e-05,976.0,24897
NK,27,solve_ftapas_50,0.04933357238769531,0.0,34688
ZKC,27,dynamic_cost,0.12724637985229492,0.0,24330
NK,15,solve_ftapas_70,0.0070781707763671875,150.0,15568
NK,4,solve_ftapas_15,0.0006005764007568359,0.0,0
NK,15,solve_ftapas_70,0.002707958221435547,255.0,17675
ZKC,10,greedy_simple,3.4809112548828125e-05,448.0,11079
ZKC,10,solve_ftapas_15,0.004320621490478516,25.0,10265
NK,25,solve_ftapas_50,0.04749894142150879,0.0,33280
ZKW,15,dynamic_cost,0.00011515617370605469,0.0,3477
ZKC,4,branch_bound,0.00017333030700683594,0.0,3992
ZKW,15,solve_ftapas_50,0.004948854446411133,0.0,3934
ZKW,4,dynamic_cost,1.9550323486328125e-05,0.0,3535
ZKC,15,solve_ftapas_15,0.015638113021850586,1.0,12943
NK,27,greedy_redux,8.225440979003906e-05,0.0,29064
ZKC,20,dynamic_cost,0.02017378807067871,0.0,15403
ZKC,25,dynamic_weight,1.2333803176879883,0.0,23381
