dataset,size,key,elapsed,delta
ZKC,20,greedy_simple,3.7670135498046875e-05,1448.0
ZKW,25,solve_ftapas_15,0.131303071975708,0.0
ZKC,20,branch_bound,1.247053861618042,0.0
ZKC,10,solve_ftapas_70,0.002237558364868164,66.0
ZKC,15,solve_ftapas_50,0.010142803192138672,86.0
NK,27,solve_ftapas_30,0.06796741485595703,0.0
ZKC,20,greedy_redux,6.937980651855469e-05,1097.0
ZKC,15,greedy_simple,4.506111145019531e-05,132.0
ZKC,27,greedy_simple,5.9604644775390625e-05,0.0
ZKC,22,branch_bound,3.9654834270477295,0.0
NK,15,dynamic_cost,0.015628337860107422,0.0
ZKW,10,solve_ftapas_15,0.0032243728637695312,141.0
ZKC,22,solve_ftapas_15,0.07252287864685059,15.0
NK,25,greedy_redux,7.557868957519531e-05,155.0
ZKC,22,dynamic_weight,1.6393415927886963,0.0
ZKC,20,branch_bound,1.6658902168273926,0.0
NK,4,dynamic_cost,4.267692565917969e-05,0.0
NK,22,solve_ftapas_15,0.09392023086547852,0.0
ZKW,15,dynamic_weight,0.616976261138916,0.0
ZKW,22,solve_ftapas_15,0.0531156063079834,0.0
NK,27,solve_ftapas_15,0.1573963165283203,0.0
ZKW,4,solve_ftapas_30,0.0005505084991455078,0.0
NK,15,solve_ftapas_30,0.013731956481933594,0.0
NK,25,solve_ftapas_70,0.0265045166015625,0.0
NK,27,dynamic_cost,0.06339144706726074,0.0
ZKC,25,solve_ftapas_15,0.1322951316833496,0.0
ZKC,20,branch_bound,1.6193220615386963,0.0
NK,4,greedy_simple,1.7642974853515625e-05,0.0
NK,10,solve_ftapas_30,0.0038955211639404297,0.0
NK,10,solve_ftapas_15,0.007889270782470703,0.0
ZKC,20,branch_bound,0.804905891418457,0.0
ZKC,15,dynamic_cost,0.013877630233764648,0.0
ZKW,10,greedy_simple,3.314018249511719e-05,3652.0
NK,10,solve_ftapas_50,0.002363443374633789,0.0
ZKW,4,solve_ftapas_70,0.0002803802490234375,0.0
NK,20,greedy_redux,4.100799560546875e-05,0.0
ZKC,20,dynamic_weight,1.0326392650604248,0.0
NK,10,solve_ftapas_30,0.004621982574462891,0.0
ZKC,4,dynamic_cost,6.151199340820312e-05,0.0
ZKC,25,greedy_simple,5.221366882324219e-05,443.0
ZKC,10,dynamic_weight,0.21844172477722168,0.0
ZKC,22,dynamic_weight,1.5179197788238525,0.0
NK,22,dynamic_cost,0.047978878021240234,0.0
NK,4,solve_ftapas_70,0.0003573894500732422,0.0
ZKW,10,solve_ftapas_50,0.001116037368774414,0.0
NK,15,dynamic_weight,0.589789867401123,0.0
ZKC,20,solve_ftapas_15,0.07940053939819336,0.0
NK,25,branch_bound,0.042269229888916016,0.0
ZKC,25,solve_ftapas_15,0.1285266876220703,0.0
ZKW,4,greedy_simple,1.6927719116210938e-05,7780.0
NK,4,dynamic_cost,2.5510787963867188e-05,0.0
NK,20,branch_bound,0.009677410125732422,0.0
NK,22,dynamic_weight,1.3932602405548096,0.0
ZKC,10,dynamic_weight,0.18737053871154785,0.0
ZKC,4,greedy_redux,3.647804260253906e-05,107.0
