iid,dataset,size,key,elapsed,result,target
422,ZKC,10,solve_ftapas_15,0.006885051727294922,8166,8166
359,NK,10,solve_ftapas_15,0.008435964584350586,3908,3908
385,NK,10,solve_ftapas_15,0.008774757385253906,11824,11824
173,ZKC,20,solve_ftapas_15,0.08394598960876465,15908,15920
334,ZKC,10,solve_ftapas_15,0.007665157318115234,8115,8120
159,ZKC,20,solve_ftapas_15,0.09085321426391602,18284,18284
217,ZKC,22,solve_ftapas_15,0.115264892578125,20544,20544
352,ZKC,4,solve_ftapas_15,0.0005719661712646484,3156,3156
439,ZKC,20,solve_ftapas_15,0.08273506164550781,16035,16055
211,NK,15,solve_ftapas_15,0.028662919998168945,12279,12279
538,ZKW,10,solve_ftapas_15,0.004758119583129883,4865,4865
473,ZKC,25,solve_ftapas_15,0.17662906646728516,24304,24304
205,ZKC,4,solve_ftapas_15,0.0005521774291992188,1757,1759
1380,ZKW,4,solve_ftapas_15,0.0005052089691162109,2545,2545
227,ZKC,25,solve_ftapas_15,0.1533970832824707,20174,20174
634,ZKW,25,solve_ftapas_15,0.06011795997619629,8088,8088
10,ZKC,4,solve_ftapas_15,0.0006241798400878906,3041,3041
1061,ZKW,4,solve_ftapas_15,0.0005199909210205078,4039,4039
29,NK,20,solve_ftapas_15,0.08044695854187012,22563,22563
19,ZKW,4,solve_ftapas_15,0.0005221366882324219,6384,6384
970,ZKW,4,solve_ftapas_15,0.00041794776916503906,5781,5781
229,ZKC,25,solve_ftapas_15,0.15468287467956543,21012,21023
599,ZKW,15,solve_ftapas_15,0.01857304573059082,4434,4434
436,ZKC,25,solve_ftapas_15,0.19945883750915527,26698,26698
32,NK,25,solve_ftapas_15,0.14933419227600098,23713,23713
569,ZKW,4,solve_ftapas_15,0.0004012584686279297,21447,21447
386,NK,20,solve_ftapas_15,0.07199406623840332,2206,2206
58,ZKC,20,solve_ftapas_15,0.08058404922485352,20037,20055
342,NK,15,solve_ftapas_15,0.02128291130065918,12976,12976
500,ZKC,22,solve_ftapas_15,0.10617208480834961,19400,19400
46,NK,15,solve_ftapas_15,0.0250089168548584,14049,14049
443,NK,4,solve_ftapas_15,0.0006268024444580078,4419,4419
261,ZKC,15,solve_ftapas_15,0.024471044540405273,11064,11090
1695,ZKW,4,solve_ftapas_15,0.0011138916015625,3245,3245
49,ZKC,15,solve_ftapas_15,0.031501054763793945,13334,13334
377,NK,22,solve_ftapas_15,0.07640600204467773,16666,16666
123,NK,10,solve_ftapas_15,0.008340120315551758,7129,7129
1381,ZKW,10,solve_ftapas_15,0.004131793975830078,4687,4687
456,ZKC,22,solve_ftapas_15,0.10683178901672363,20311,20311
254,NK,27,solve_ftapas_15,0.19635725021362305,36381,36389
692,ZKW,22,solve_ftapas_15,0.03707385063171387,6516,6516
235,ZKC,4,solve_ftapas_15,0.0006041526794433594,2218,2218
114,ZKC,4,solve_ftapas_15,0.0006036758422851562,2626,2626
907,ZKW,22,solve_ftapas_15,0.04966592788696289,4240,4240
303,ZKW,4,solve_ftapas_15,0.0005202293395996094,3578,3578
93,ZKC,20,solve_ftapas_15,0.07342100143432617,16488,16488
1185,ZKW,15,solve_ftapas_15,0.01965498924255371,3697,3697
420,ZKC,25,solve_ftapas_15,0.16569995880126953,25054,25056
270,NK,20,solve_ftapas_15,0.07020998001098633,22250,22250
177,NK,4,solve_ftapas_15,0.0004999637603759766,0,0
96,NK,25,solve_ftapas_15,0.13247013092041016,21147,21147
450,ZKC,25,solve_ftapas_15,0.12681269645690918,17176,17186
287,NK,4,solve_ftapas_15,0.0006239414215087891,1167,1167
810,ZKW,4,solve_ftapas_15,0.0004811286926269531,2939,2942
72,ZKC,4,solve_ftapas_15,0.0006060600280761719,3403,3453
205,NK,4,solve_ftapas_15,0.0004999637603759766,2209,2209
46,NK,27,solve_ftapas_15,0.19550013542175293,8322,8322
253,NK,10,solve_ftapas_15,0.006978034973144531,4367,4367
309,NK,22,solve_ftapas_15,0.10434198379516602,29426,29426
498,ZKC,22,solve_ftapas_15,0.11241507530212402,19120,19120
418,NK,4,solve_ftapas_15,0.0005979537963867188,1425,1425
34,ZKW,4,solve_ftapas_15,0.00043010711669921875,4834,4834
327,NK,4,solve_ftapas_15,0.0006229877471923828,3176,3176
220,NK,22,solve_ftapas_15,0.10362124443054199,17998,17998
256,NK,4,solve_ftapas_15,0.0005388259887695312,1617,1617
327,ZKW,4,solve_ftapas_15,0.00034308433532714844,167463,167463
350,NK,20,solve_ftapas_15,0.08030009269714355,16000,16000
165,NK,22,solve_ftapas_15,0.0873711109161377,22394,22394
127,NK,20,solve_ftapas_15,0.07753610610961914,22037,22037
295,NK,22,solve_ftapas_15,0.10286784172058105,2217,2217
181,NK,25,solve_ftapas_15,0.16042709350585938,3837,3837
168,ZKC,15,solve_ftapas_15,0.031475067138671875,13177,13187
96,ZKC,10,solve_ftapas_15,0.009163141250610352,10711,10711
812,ZKW,4,solve_ftapas_15,0.0005142688751220703,2041,2041
1514,ZKW,22,solve_ftapas_15,0.06070995330810547,4591,4591
303,ZKC,25,solve_ftapas_15,0.18481111526489258,23793,23796
202,ZKC,20,solve_ftapas_15,0.07792806625366211,15623,15626
1582,ZKW,15,solve_ftapas_15,0.030779123306274414,2587,2587
291,ZKC,10,solve_ftapas_15,0.006498813629150391,6834,6834
199,ZKC,25,solve_ftapas_15,0.19449806213378906,26701,26716
104,ZKC,10,solve_ftapas_15,0.007982015609741211,8936,8936
189,ZKC,27,solve_ftapas_15,0.18488192558288574,21275,21285
475,NK,25,solve_ftapas_15,0.16517901420593262,1433,1433
59,NK,25,solve_ftapas_15,0.1520078182220459,23707,23707
288,ZKC,10,solve_ftapas_15,0.00802302360534668,9219,9233
145,NK,4,solve_ftapas_15,0.0005390644073486328,0,0
398,ZKC,15,solve_ftapas_15,0.030680179595947266,12719,12719
452,NK,15,solve_ftapas_15,0.025040864944458008,10868,10868
406,ZKC,20,solve_ftapas_15,0.07691788673400879,15847,15847
313,NK,10,solve_ftapas_15,0.010662078857421875,8961,8961
1203,ZKW,4,solve_ftapas_15,0.0006871223449707031,2933,2933
161,NK,25,solve_ftapas_15,0.13696694374084473,17012,17012
244,NK,27,solve_ftapas_15,0.17200398445129395,25794,25794
381,NK,22,solve_ftapas_15,0.11523294448852539,21061,21061
99,ZKC,10,solve_ftapas_15,0.007949113845825195,7318,7318
438,NK,27,solve_ftapas_15,0.2059483528137207,2055,2055
21,NK,10,solve_ftapas_15,0.005766153335571289,2483,2483
471,NK,4,solve_ftapas_15,0.0006530284881591797,802,802
17,ZKC,20,solve_ftapas_15,0.06292104721069336,16105,16105
3,NK,22,solve_ftapas_15,0.09897017478942871,25069,25069
184,NK,25,solve_ftapas_15,0.14798498153686523,22016,22016
126,ZKC,22,solve_ftapas_15,0.10245513916015625,17485,17485
116,NK,10,solve_ftapas_15,0.008888959884643555,9601,9601
410,ZKW,4,solve_ftapas_15,0.0005402565002441406,1928,1928
157,NK,27,solve_ftapas_15,0.16756510734558105,14973,14973
283,NK,22,solve_ftapas_15,0.08225512504577637,22032,22032
194,NK,25,solve_ftapas_15,0.16330313682556152,32533,32533
1867,ZKW,4,solve_ftapas_15,0.00043392181396484375,5170,5170
69,NK,10,solve_ftapas_15,0.008234977722167969,3468,3468
319,ZKC,25,solve_ftapas_15,0.16205811500549316,24034,24057
124,NK,4,solve_ftapas_15,0.0005939006805419922,2120,2120
33,NK,15,solve_ftapas_15,0.027699947357177734,0,0
484,NK,27,solve_ftapas_15,0.1734027862548828,31544,31544
972,ZKW,20,solve_ftapas_15,0.027109861373901367,9674,9674
350,ZKC,22,solve_ftapas_15,0.09984469413757324,18985,18985
35,ZKW,4,solve_ftapas_15,0.0004930496215820312,7649,7649
1391,ZKW,27,solve_ftapas_15,0.06705474853515625,6720,6720
1332,ZKW,4,solve_ftapas_15,0.0005741119384765625,3146,3146
7,ZKC,10,solve_ftapas_15,0.008339166641235352,9119,9119
296,NK,22,solve_ftapas_15,0.12331080436706543,32135,32135
407,NK,25,solve_ftapas_15,0.14577174186706543,27048,27048
476,ZKC,20,solve_ftapas_15,0.06503868103027344,15527,15527
850,ZKW,4,solve_ftapas_15,0.0004832744598388672,4401,4401
453,NK,10,solve_ftapas_15,0.006916046142578125,1640,1640
879,ZKW,10,solve_ftapas_15,0.005322933197021484,4895,4895
447,NK,27,solve_ftapas_15,0.18509817123413086,18287,18287
260,ZKC,22,solve_ftapas_15,0.10231995582580566,19246,19246
233,NK,15,solve_ftapas_15,0.019829988479614258,11250,11250
206,NK,27,solve_ftapas_15,0.2056429386138916,37656,37656
116,NK,20,solve_ftapas_15,0.0698099136352539,24546,24546
193,ZKC,27,solve_ftapas_15,0.19199419021606445,23640,23640
190,NK,15,solve_ftapas_15,0.022543907165527344,15391,15391
349,ZKC,15,solve_ftapas_15,0.029195070266723633,12476,12476
357,NK,15,solve_ftapas_15,0.030323028564453125,2015,2015
172,NK,20,solve_ftapas_15,0.0692741870880127,19832,19832
160,NK,27,solve_ftapas_15,0.14624905586242676,24586,24586
412,NK,15,solve_ftapas_15,0.030755996704101562,21921,21921
480,ZKC,4,solve_ftapas_15,0.0007510185241699219,3484,3508
293,ZKC,20,solve_ftapas_15,0.09240603446960449,19085,19085
367,ZKC,4,solve_ftapas_15,0.0007212162017822266,4393,4393
322,ZKC,4,solve_ftapas_15,0.0005948543548583984,3509,3556
386,ZKC,20,solve_ftapas_15,0.07863402366638184,17309,17309
430,NK,15,solve_ftapas_15,0.036138057708740234,17476,17476
125,ZKC,27,solve_ftapas_15,0.19868707656860352,24269,24269
350,NK,25,solve_ftapas_15,0.10559773445129395,19581,19581
48,NK,15,solve_ftapas_15,0.02864670753479004,5814,5814
466,ZKC,10,solve_ftapas_15,0.006374835968017578,7105,7105
305,NK,10,solve_ftapas_15,0.0067081451416015625,5502,5502
253,NK,20,solve_ftapas_15,0.07942080497741699,26409,26409
1480,ZKW,4,solve_ftapas_15,0.0005388259887695312,3197,3197
403,ZKC,25,solve_ftapas_15,0.15116477012634277,23065,23071
6,NK,4,solve_ftapas_15,0.0006620883941650391,1641,1641
385,NK,25,solve_ftapas_15,0.13141202926635742,24836,24836
457,ZKC,22,solve_ftapas_15,0.10006189346313477,19853,19853
707,ZKW,4,solve_ftapas_15,0.0005319118499755859,2035,2035
112,ZKC,15,solve_ftapas_15,0.03402090072631836,12691,12691
197,NK,4,solve_ftapas_15,0.0011360645294189453,6201,6201
322,ZKC,20,solve_ftapas_15,0.06777191162109375,14949,14958
90,NK,20,solve_ftapas_15,0.062335968017578125,18386,18386
1177,ZKW,20,solve_ftapas_15,0.06106114387512207,2296,2296
367,NK,22,solve_ftapas_15,0.1028909683227539,18627,18627
480,ZKC,15,solve_ftapas_15,0.03256797790527344,13965,13975
18,ZKC,25,solve_ftapas_15,0.14487767219543457,20333,20345
440,NK,22,solve_ftapas_15,0.10670161247253418,26910,26910
340,NK,20,solve_ftapas_15,0.07193493843078613,25798,25798
263,NK,22,solve_ftapas_15,0.0720062255859375,20983,20983
151,NK,15,solve_ftapas_15,0.031244993209838867,1427,1427
1625,ZKW,4,solve_ftapas_15,0.0005078315734863281,3669,3669
382,ZKC,20,solve_ftapas_15,0.07235908508300781,16611,16633
61,NK,4,solve_ftapas_15,0.0007250308990478516,0,0
142,ZKC,22,solve_ftapas_15,0.10588693618774414,18104,18109
134,NK,22,solve_ftapas_15,0.08768820762634277,15193,15193
244,NK,4,solve_ftapas_15,0.0006570816040039062,2500,2500
185,NK,25,solve_ftapas_15,0.1491849422454834,8118,8118
207,NK,27,solve_ftapas_15,0.18000006675720215,13245,13256
83,ZKC,22,solve_ftapas_15,0.10404396057128906,18908,18908
399,NK,4,solve_ftapas_15,0.0006289482116699219,3785,3785
92,NK,25,solve_ftapas_15,0.1432487964630127,28381,28381
332,NK,27,solve_ftapas_15,0.1655738353729248,12534,12534
1829,ZKW,4,solve_ftapas_15,0.0003058910369873047,2358,2358
