dataset,size,key,elapsed,delta
NK,20,branch_bound,0.005036830902099609,0.0
NK,22,greedy_simple,2.5033950805664062e-05,0.0
ZKW,4,solve_ftapas_30,0.0004930496215820312,0.0
NK,4,greedy_simple,2.002716064453125e-05,0.0
ZKC,27,greedy_simple,5.91278076171875e-05,335.0
ZKC,15,dynamic_cost,0.007803678512573242,3107.0
ZKC,25,dynamic_weight,1.276158332824707,271.0
ZKC,20,solve_ftapas_50,0.022545814514160156,924.0
NK,10,solve_ftapas_15,0.005837440490722656,0.0
NK,22,solve_ftapas_30,0.04850149154663086,0.0
NK,20,solve_ftapas_15,0.06438946723937988,0.0
ZKW,4,greedy_simple,2.956390380859375e-05,150.0
NK,25,solve_ftapas_50,0.04688525199890137,0.0
NK,20,solve_ftapas_70,0.012064456939697266,0.0
ZKW,4,dynamic_cost,2.3603439331054688e-05,0.0
ZKC,20,dynamic_cost,0.04540276527404785,452.0
NK,27,greedy_simple,4.9114227294921875e-05,513.0
ZKW,4,greedy_redux,7.557868957519531e-05,0.0
ZKW,4,solve_ftapas_70,0.0002532005310058594,12485.0
NK,15,dynamic_weight,0.4815030097961426,0.0
NK,4,greedy_redux,2.6464462280273438e-05,0.0
ZKW,4,dynamic_weight,0.014830827713012695,0.0
NK,22,dynamic_cost,0.0465087890625,0.0
ZKC,20,branch_bound,1.0799322128295898,778.0
NK,10,solve_ftapas_70,0.001852273941040039,28.0
ZKC,15,greedy_simple,5.7220458984375e-05,3275.0
ZKC,15,greedy_simple,4.458427429199219e-05,1567.0
ZKC,10,dynamic_weight,0.10402917861938477,113.0
NK,27,solve_ftapas_70,0.03679347038269043,0.0
ZKC,25,solve_ftapas_70,0.02689361572265625,2201.0
NK,4,dynamic_cost,3.886222839355469e-05,0.0
ZKC,27,solve_ftapas_70,0.024217844009399414,1998.0
ZKC,27,dynamic_weight,1.9924051761627197,340.0
ZKW,4,solve_ftapas_15,0.00046062469482421875,0.0
ZKW,4,greedy_simple,6.079673767089844e-05,0.0
ZKC,15,dynamic_cost,0.013247489929199219,3527.0
NK,22,solve_ftapas_70,0.023209571838378906,0.0
ZKC,27,dynamic_cost,0.13628458976745605,1725.0
ZKC,27,greedy_redux,7.462501525878906e-05,52.0
ZKC,10,greedy_redux,0.0003826618194580078,2420.0
ZKC,4,solve_ftapas_30,0.0004608631134033203,29.0
ZKC,27,dynamic_weight,1.77335786819458,1156.0
NK,22,dynamic_weight,1.1023643016815186,0.0
ZKW,4,branch_bound,0.0001506805419921875,0.0
ZKC,20,greedy_simple,4.2438507080078125e-05,920.0
NK,10,dynamic_weight,0.18946194648742676,0.0
ZKC,4,greedy_redux,4.00543212890625e-05,1104.0
ZKC,27,dynamic_weight,1.3045909404754639,1700.0
ZKC,22,solve_ftapas_50,0.029950380325317383,361.0
ZKW,4,dynamic_weight,0.03601789474487305,0.0
ZKC,15,solve_ftapas_50,0.00912165641784668,938.0
NK,4,solve_ftapas_15,0.0006270408630371094,0.0
ZKW,15,greedy_redux,0.00013589859008789062,0.0
NK,27,dynamic_weight,1.4108450412750244,0.0
ZKC,10,greedy_simple,2.9087066650390625e-05,2014.0
ZKC,4,greedy_simple,2.1457672119140625e-05,0.0
NK,22,solve_ftapas_30,0.03159284591674805,0.0
NK,10,dynamic_cost,0.002230405807495117,0.0
NK,27,greedy_redux,4.9591064453125e-05,0.0
NK,15,dynamic_weight,0.48341798782348633,0.0
NK,15,branch_bound,0.018933534622192383,0.0
ZKC,22,greedy_simple,4.792213439941406e-05,890.0
NK,15,solve_ftapas_30,0.01245427131652832,0.0
ZKC,15,greedy_simple,4.8160552978515625e-05,209.0
NK,20,solve_ftapas_30,0.03158831596374512,0.0
NK,22,solve_ftapas_50,0.017281532287597656,0.0
NK,20,solve_ftapas_15,0.06763982772827148,0.0
NK,10,greedy_redux,2.8371810913085938e-05,0.0
NK,10,solve_ftapas_30,0.004988908767700195,0.0
ZKC,27,solve_ftapas_70,0.04332256317138672,3888.0
ZKC,10,solve_ftapas_30,0.005617380142211914,388.0
NK,20,greedy_simple,4.172325134277344e-05,0.0
NK,25,solve_ftapas_70,0.02771449089050293,0.0
ZKW,4,dynamic_cost,3.504753112792969e-05,0.0
ZKC,22,solve_ftapas_15,0.10875558853149414,394.0
ZKC,20,greedy_redux,7.081031799316406e-05,3494.0
ZKC,20,greedy_redux,6.246566772460938e-05,402.0
ZKW,10,solve_ftapas_15,0.004262208938598633,0.0
NK,27,dynamic_cost,0.0802316665649414,0.0
ZKC,20,solve_ftapas_30,0.039315223693847656,3501.0
NK,20,solve_ftapas_70,0.017986297607421875,0.0
ZKC,20,solve_ftapas_70,0.009066343307495117,4333.0
NK,15,dynamic_cost,0.00011920928955078125,0.0
NK,27,dynamic_weight,1.7173402309417725,0.0
ZKW,4,solve_ftapas_70,0.0002605915069580078,0.0
NK,15,branch_bound,0.0003063678741455078,0.0
ZKC,25,greedy_redux,6.532669067382812e-05,4846.0
ZKC,4,dynamic_cost,4.172325134277344e-05,0.0
NK,22,solve_ftapas_50,0.021489381790161133,38.0
ZKC,4,greedy_simple,1.9311904907226562e-05,1347.0
ZKC,27,solve_ftapas_30,0.09836888313293457,557.0
ZKC,15,dynamic_weight,0.6138947010040283,2513.0
ZKW,10,solve_ftapas_70,0.0012257099151611328,1411.0
NK,27,greedy_simple,5.793571472167969e-05,0.0
NK,22,branch_bound,0.43886470794677734,0.0
NK,20,greedy_redux,6.246566772460938e-05,0.0
ZKC,10,solve_ftapas_15,0.005467891693115234,819.0
NK,27,dynamic_weight,1.030695915222168,0.0
NK,25,solve_ftapas_15,0.06766271591186523,0.0
ZKW,4,solve_ftapas_30,0.00034332275390625,0.0
ZKC,20,solve_ftapas_70,0.014984369277954102,309.0
ZKC,22,greedy_redux,5.53131103515625e-05,721.0
ZKC,10,solve_ftapas_70,0.002288341522216797,308.0
NK,10,solve_ftapas_30,0.004169940948486328,0.0
NK,25,solve_ftapas_70,0.027933120727539062,0.0
ZKC,15,solve_ftapas_30,0.012749195098876953,2065.0
ZKW,4,solve_ftapas_50,0.00025582313537597656,0.0
ZKC,25,solve_ftapas_30,0.03924989700317383,1040.0
ZKC,20,greedy_redux,5.936622619628906e-05,1046.0
NK,27,greedy_redux,5.53131103515625e-05,0.0
ZKC,4,solve_ftapas_15,0.0006794929504394531,0.0
ZKC,27,greedy_redux,0.0004360675811767578,5091.0
ZKW,15,solve_ftapas_50,0.005803108215332031,0.0
ZKW,20,solve_ftapas_50,0.006734132766723633,0.0
ZKC,22,solve_ftapas_50,0.03371238708496094,597.0
NK,15,dynamic_cost,0.011986732482910156,0.0
NK,15,greedy_redux,5.3882598876953125e-05,0.0
ZKC,20,dynamic_weight,0.9847371578216553,1128.0
ZKW,4,solve_ftapas_30,0.00044035911560058594,0.0
ZKC,15,solve_ftapas_50,0.010320663452148438,622.0
NK,20,solve_ftapas_30,0.03271222114562988,0.0
ZKC,4,solve_ftapas_70,0.00019788742065429688,0.0
ZKC,15,solve_ftapas_30,0.016834259033203125,65.0
ZKC,15,dynamic_cost,0.008485555648803711,936.0
ZKW,15,dynamic_weight,0.5034892559051514,0.0
NK,25,solve_ftapas_70,0.03076171875,0.0
ZKC,25,greedy_redux,7.319450378417969e-05,1191.0
ZKC,22,dynamic_cost,0.04114532470703125,1260.0
ZKC,10,dynamic_cost,0.0019233226776123047,828.0
NK,10,solve_ftapas_15,0.006697416305541992,0.0
ZKW,4,solve_ftapas_70,0.00028896331787109375,0.0
NK,15,solve_ftapas_30,0.014197111129760742,323.0
ZKW,4,dynamic_weight,0.02687811851501465,0.0
ZKW,27,solve_ftapas_70,0.029177427291870117,128.0
NK,20,dynamic_weight,0.6832034587860107,0.0
NK,20,solve_ftapas_15,0.06022524833679199,0.0
ZKC,4,greedy_simple,1.811981201171875e-05,216.0
NK,27,solve_ftapas_15,0.08495974540710449,0.0
NK,22,solve_ftapas_70,0.022073984146118164,0.0
ZKC,22,greedy_simple,5.340576171875e-05,1778.0
NK,15,solve_ftapas_15,0.02881646156311035,0.0
NK,15,greedy_redux,5.125999450683594e-05,0.0
NK,10,greedy_redux,4.6253204345703125e-05,0.0
ZKC,4,solve_ftapas_70,0.0003590583801269531,270.0
NK,10,dynamic_weight,0.15147161483764648,0.0
ZKW,4,solve_ftapas_15,0.0005040168762207031,0.0
ZKW,4,dynamic_cost,2.288818359375e-05,0.0
NK,22,branch_bound,0.0074579715728759766,0.0
NK,10,branch_bound,0.0007936954498291016,0.0
NK,10,greedy_redux,2.7418136596679688e-05,257.0
NK,27,solve_ftapas_15,0.0910646915435791,0.0
NK,4,solve_ftapas_50,0.00018787384033203125,0.0
NK,27,solve_ftapas_30,0.08700060844421387,0.0
NK,4,solve_ftapas_15,0.001535654067993164,0.0
NK,15,greedy_redux,5.4836273193359375e-05,0.0
NK,20,dynamic_cost,0.09035611152648926,0.0
ZKC,15,greedy_redux,4.267692565917969e-05,66.0
ZKW,25,solve_ftapas_30,0.016801118850708008,0.0
ZKC,10,solve_ftapas_15,0.009292840957641602,1153.0
NK,20,dynamic_weight,0.595421552658081,0.0
NK,22,solve_ftapas_50,0.02820730209350586,0.0
NK,22,dynamic_weight,1.379218339920044,0.0
ZKW,4,solve_ftapas_30,0.00032901763916015625,0.0
NK,22,greedy_redux,6.365776062011719e-05,270.0
NK,15,solve_ftapas_50,0.009035348892211914,0.0
NK,15,branch_bound,0.014032840728759766,0.0
ZKC,25,solve_ftapas_30,0.07346010208129883,1706.0
NK,4,dynamic_weight,0.03609514236450195,0.0
NK,27,solve_ftapas_70,0.037660837173461914,0.0
ZKC,27,solve_ftapas_50,0.06467342376708984,7050.0
NK,15,branch_bound,0.0004811286926269531,0.0
NK,10,dynamic_cost,0.0004730224609375,0.0
ZKC,20,dynamic_weight,1.0891056060791016,846.0
NK,15,solve_ftapas_50,0.004045248031616211,42.0
ZKC,27,dynamic_weight,1.542280673980713,503.0
ZKC,22,solve_ftapas_70,0.022107839584350586,4034.0
NK,10,dynamic_cost,0.0024890899658203125,0.0
NK,25,solve_ftapas_15,0.10763835906982422,10.0
ZKC,27,solve_ftapas_30,0.10010814666748047,4050.0
NK,27,solve_ftapas_30,0.09101390838623047,0.0
NK,20,greedy_redux,7.891654968261719e-05,0.0
NK,4,branch_bound,0.0001614093780517578,0.0
ZKW,4,dynamic_weight,0.024511098861694336,0.0
ZKW,4,branch_bound,0.00021338462829589844,0.0
ZKC,15,solve_ftapas_50,0.010103225708007812,482.0
NK,4,dynamic_weight,0.0315554141998291,0.0
ZKW,10,greedy_simple,2.288818359375e-05,5974.0
NK,22,dynamic_cost,0.041692495346069336,0.0
ZKC,25,greedy_simple,4.935264587402344e-05,6498.0
ZKW,15,greedy_simple,2.9325485229492188e-05,597.0
NK,10,dynamic_weight,0.23407578468322754,0.0
ZKC,27,dynamic_cost,0.05392003059387207,2803.0
ZKC,15,dynamic_weight,0.424271821975708,1742.0
NK,25,branch_bound,0.0006406307220458984,0.0
ZKC,25,solve_ftapas_70,0.02739405632019043,640.0
NK,10,dynamic_weight,0.16440606117248535,0.0
NK,20,dynamic_cost,0.1028139591217041,0.0
ZKW,4,greedy_simple,1.6450881958007812e-05,0.0
NK,27,solve_ftapas_15,0.18218135833740234,0.0
ZKW,4,branch_bound,0.000701904296875,0.0
NK,10,greedy_redux,2.8848648071289062e-05,0.0
ZKC,22,solve_ftapas_50,0.029651165008544922,1509.0
ZKC,4,solve_ftapas_70,0.0003552436828613281,449.0
NK,15,solve_ftapas_15,0.03178715705871582,0.0
NK,20,dynamic_cost,0.005951881408691406,0.0
ZKC,27,solve_ftapas_30,0.08171606063842773,351.0
ZKC,10,dynamic_weight,0.2708306312561035,3478.0
NK,4,greedy_simple,2.574920654296875e-05,0.0
NK,15,branch_bound,0.0009076595306396484,0.0
ZKC,15,dynamic_weight,0.40381717681884766,4105.0
NK,4,solve_ftapas_15,0.00027561187744140625,0.0
NK,22,dynamic_weight,1.3236236572265625,0.0
ZKW,4,solve_ftapas_50,0.0004954338073730469,0.0
NK,15,greedy_redux,6.341934204101562e-05,0.0
ZKC,22,solve_ftapas_50,0.02791881561279297,3275.0
ZKC,10,branch_bound,0.005527496337890625,344.0
NK,20,solve_ftapas_15,0.06835389137268066,0.0
ZKW,4,greedy_redux,9.751319885253906e-05,0.0
ZKC,4,dynamic_weight,0.031851768493652344,0.0
NK,22,solve_ftapas_50,0.028481006622314453,0.0
ZKC,10,branch_bound,0.005468845367431641,201.0
ZKC,15,greedy_redux,4.792213439941406e-05,834.0
ZKC,4,solve_ftapas_15,0.0006203651428222656,0.0
ZKC,20,dynamic_cost,0.034345388412475586,1639.0
ZKC,22,solve_ftapas_70,0.02608513832092285,2435.0
ZKW,10,solve_ftapas_30,0.0020220279693603516,2386.0
