instance,method,result,elapsed,args,tag
3430 8 5455 468 2402 153 48 1495 2645 354 2117 394 1432 2451 2175 763 1293 741 2602,solve_dynamic_cost,12539.0,0.0007297992706298828,-I 3401 -N 100 -n 8 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
1642 4 7590 1461 709 2873 2918 2218 645 1038 568,solve_dynamic_cost,4840.0,0.00012063980102539062,-I 1601 -N 100 -n 4 -W 3000 -C 3000 -w bal -m 1.0 -c uni,m
1841 4 12726 1623 1079 1168 137 1605 1201 1967 2871,solve_dynamic_cost,5288.0,0.00012540817260742188,-I 1801 -N 100 -n 4 -W 3000 -C 3000 -w bal -m 2.0 -c uni,m
1924 4 6849 2606 2915 2262 2462 1197 1715 2497 87,solve_dynamic_cost,7092.0,0.0001323223114013672,-I 1901 -N 100 -n 4 -W 3000 -C 3000 -w bal -m 0.8 -c uni,c
2920 8 13072 39 2457 536 1036 808 235 1113 2579 682 763 536 2901 1310 1073 1512 82,solve_branch_bound,11126.0,0.0002772808074951172,-I 2901 -N 100 -n 8 -W 3000 -C 3000 -w bal -m 2.0 -c uni,m
1258 4 1976 468 2402 153 48 1495 2645 354 2117,solve_dynamic_cost,5047.0,8.106231689453125e-05,-I 1201 -N 100 -n 4 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
1690 4 7449 2081 837 594 491 2240 1565 2534 32,solve_dynamic_cost,2925.0,0.00012636184692382812,-I 1601 -N 100 -n 4 -W 3000 -C 3000 -w bal -m 1.0 -c uni,m
1989 4 4588 1680 1571 2940 2532 176 1991 940 2543,solve_dynamic_cost,7066.0,0.00011420249938964844,-I 1901 -N 100 -n 4 -W 3000 -C 3000 -w bal -m 0.8 -c uni,c
4223 8 9356 568 476 584 647 1741 1748 1960 2030 1307 1271 1667 1724 1222 1252 2647 2630,solve_dynamic_cost,9403.0,0.0009284019470214844,-I 4201 -N 100 -n 8 -W 3000 -C 3000 -w bal -m 0.8 -c corr,c
1910 4 3890 1546 2325 875 369 719 1699 1723 2546,solve_dynamic_cost,4871.0,0.00017189979553222656,-I 1901 -N 100 -n 4 -W 3000 -C 3000 -w bal -m 0.8 -c uni,c
3185 8 7685 1611 1642 343 367 1763 1730 187 131 1493 1478 1031 867 1813 1864 1366 1500,solve_branch_bound,7718.0,0.0006105899810791016,-I 3101 -N 100 -n 8 -W 3000 -C 3000 -w bal -m 0.8 -c corr,c
5898 16 0 773 1684 1922 615 2031 1834 2080 661 1951 200 1420 1494 277 641 348 585 1906 2766 1858 2144 266 829 1656 730 1017 1951 2451 1613 43 2023 1773 1655,solve_dynamic_cost,0.0,7.390975952148438e-05,-I 5801 -N 100 -n 16 -W 3000 -C 3000 -w bal -m 0.0 -c uni,m
8076 20 0 387 1978 2070 1369 242 1059 402 1625 6 114 2570 1669 44 2251 107 2128 2366 1421 1916 2878 1720 223 141 97 1712 951 428 1635 2832 870 976 2832 2425 1482 1272 1344 2094 1994 2078 2924,solve_dynamic_cost,0.0,7.557868957519531e-05,-I 8001 -N 100 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni,m
596 4 4553 1174 1765 1301 1206 915 2617 1163 495,solve_branch_bound,6083.0,0.00028014183044433594,-I 501 -N 100 -n 4 -W 3000 -C 3000 -w bal -m 1.0 -c uni,m
403 4 3382 242 2939 2902 1948 1820 2466 1801 2207,solve_branch_bound,5405.0,0.0003437995910644531,-I 401 -N 100 -n 4 -W 3000 -C 3000 -w bal -m 0.5 -c uni,m
6957 20 0 1176 2951 1493 2749 1933 247 2921 1231 1297 59 1173 1463 2662 2245 814 922 1945 2209 1664 355 1161 2783 1002 2834 848 2864 1057 1322 869 2229 2983 2496 1300 2119 2011 2636 233 6 466 2882,solve_branch_bound,0.0,0.0005118846893310547,-I 6901 -N 100 -n 20 -W 3000 -C 3000 -w bal -m 0.0 -c uni,m
10252 24 0 383 2907 218 1632 1642 1427 2640 868 329 2394 2457 1382 10 2590 1267 1284 1507 670 286 1701 2078 460 2362 2374 1695 1551 1203 2147 573 127 1291 623 1107 2410 1615 2324 982 2573 109 128 1291 283 592 1295 196 2283 2443 2613,solve_dynamic_cost,0.0,9.489059448242188e-05,-I 10201 -N 100 -n 24 -W 3000 -C 3000 -w bal -m 0.0 -c uni,m
1829 4 11258 737 1052 2454 2823 2386 1976 52 2067,solve_dynamic_cost,7918.0,0.00018787384033203125,-I 1801 -N 100 -n 4 -W 3000 -C 3000 -w bal -m 2.0 -c uni,m
868 4 5680 1038 1549 2922 166 1611 2278 1529 2490,solve_branch_bound,6317.0,0.00034689903259277344,-I 801 -N 100 -n 4 -W 3000 -C 3000 -w bal -m 0.8 -c uni,c
1940 4 5365 2927 2706 542 1916 1499 190 1739 2508,solve_dynamic_cost,7130.0,0.00012540817260742188,-I 1901 -N 100 -n 4 -W 3000 -C 3000 -w bal -m 0.8 -c uni,c
4015 8 22018 1769 1551 795 2025 17 1011 2730 149 20 2792 2820 2724 2121 1286 737 1052,solve_dynamic_cost,12590.0,0.0012238025665283203,-I 4001 -N 100 -n 8 -W 3000 -C 3000 -w bal -m 2.0 -c uni,m
3487 8 5226 1322 2947 43 123 1016 787 2432 1184 703 1119 716 1782 272 1346 29 340,solve_dynamic_cost,8444.0,0.0009098052978515625,-I 3401 -N 100 -n 8 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
3798 8 6074 954 1043 1370 1673 55 2346 1009 905 896 1823 2189 2560 2858 1087 2818 2171,solve_dynamic_cost,9445.0,0.00104522705078125,-I 3701 -N 100 -n 8 -W 3000 -C 3000 -w bal -m 0.5 -c uni,m
737 4 12614 2457 536 1036 808 235 1113 2579 682,solve_branch_bound,3139.0,0.0004227161407470703,-I 701 -N 100 -n 4 -W 3000 -C 3000 -w bal -m 2.0 -c uni,m
5160 16 59816 2333 857 1576 2631 2700 1622 2120 1625 1760 1417 2341 1635 2151 1299 216 2788 1053 1170 1446 2027 1068 1589 2099 2067 1476 2614 2345 2365 2338 954 2886 1302,solve_branch_bound,27962.0,0.0009350776672363281,-I 5101 -N 100 -n 16 -W 3000 -C 3000 -w bal -m 2.0 -c uni,m
301 4 0 431 529 2156 2306 765 2237 1024 1157,solve_branch_bound,0.0,0.0003349781036376953,-I 301 -N 100 -n 4 -W 3000 -C 3000 -w bal -m 0.0 -c uni,m
1275 4 3400 2117 1003 430 978 1285 1192 418 743,solve_dynamic_cost,2913.0,0.00010466575622558594,-I 1201 -N 100 -n 4 -W 3000 -C 3000 -w light -m 0.8 -c uni,w
4712 16 0 137 1605 1201 1967 2871 1638 1461 709 2873 2918 2218 645 1038 568 934 584 1893 1741 1581 1960 2516 1307 1178 1667 2136 1222 1752 2647 770 2503 1956 2523,solve_branch_bound,0.0,0.0007257461547851562,-I 4701 -N 100 -n 16 -W 3000 -C 3000 -w bal -m 0.0 -c uni,m
1735 4 12652 783 1415 2663 178 2901 1245 2088 1237,solve_dynamic_cost,4075.0,0.00013828277587890625,-I 1701 -N 100 -n 4 -W 3000 -C 3000 -w bal -m 1.5 -c uni,m
1141 4 5090 1623 1079 1168 137 1605 1201 1967 2871,solve_dynamic_cost,4209.0,7.605552673339844e-05,-I 1101 -N 100 -n 4 -W 3000 -C 3000 -w bal -m 0.8 -c uni,w
9354 24 32463 2317 1317 2379 391 1271 2562 1377 862 401 1326 1077 648 1627 244 2524 1554 23 2567 462 2153 2421 2297 403 2160 2578 1262 1189 306 409 1170 64 2445 1615 1908 1821 1503 1893 519 1410 1101 211 1108 2776 2805 1099 1376 1116 2254,solve_branch_bound,35838.0,0.0010204315185546875,-I 9301 -N 100 -n 24 -W 3000 -C 3000 -w bal -m 1.0 -c uni,m
1474 4 0 981 1264 950 1462 2904 1129 373 2048,solve_dynamic_cost,0.0,6.008148193359375e-05,-I 1401 -N 100 -n 4 -W 3000 -C 3000 -w bal -m 0.0 -c uni,m
4214 8 10451 2162 2175 2245 2175 1260 1385 1518 1479 2279 2324 823 842 5 204 2772 2793,solve_dynamic_cost,10584.0,0.001283884048461914,-I 4201 -N 100 -n 8 -W 3000 -C 3000 -w bal -m 0.8 -c corr,c
