method,result,elapsed,args
solve_bruteforce,0.0,0.0003428459167480469,-I 151 -N 10 -n 24 -W 3000 -C 3000 -w light -m 0.0 -c uni
solve_bruteforce,34216.0,0.0007219314575195312,-I 421 -N 10 -n 24 -W 3000 -C 3000 -w heavy -m 2.0 -c uni
solve_dynamic_cost,0.0,1.0967254638671875e-05,-I 11 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.0 -c corr
solve_branch_bound,31228.0,0.0005290508270263672,-I 421 -N 10 -n 24 -W 3000 -C 3000 -w heavy -m 2.0 -c uni
solve_bruteforce,28648.0,0.0004899501800537109,-I 291 -N 10 -n 24 -W 3000 -C 3000 -w light -m 2.0 -c strong
solve_greedy,0.0,3.0994415283203125e-05,-I 171 -N 10 -n 24 -W 3000 -C 3000 -w light -m 0.0 -c strong
solve_branch_bound,28805.0,0.000576019287109375,-I 231 -N 10 -n 24 -W 3000 -C 3000 -w light -m 1.0 -c strong
solve_greedy,0.0,3.504753112792969e-05,-I 11 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.0 -c corr
solve_branch_bound,24196.0,0.0005419254302978516,-I 281 -N 10 -n 24 -W 3000 -C 3000 -w light -m 2.0 -c corr
solve_greedy,47479.0,4.696846008300781e-05,-I 381 -N 10 -n 24 -W 3000 -C 3000 -w heavy -m 1.0 -c strong
solve_greedy,0.0,2.7894973754882812e-05,-I 311 -N 10 -n 24 -W 3000 -C 3000 -w heavy -m 0.0 -c corr
solve_greedy,34216.0,4.1961669921875e-05,-I 271 -N 10 -n 24 -W 3000 -C 3000 -w light -m 2.0 -c uni
solve_greedy,23787.0,5.507469177246094e-05,-I 231 -N 10 -n 24 -W 3000 -C 3000 -w light -m 1.0 -c strong
solve_branch_bound,0.0,0.0005679130554199219,-I 21 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.0 -c strong
solve_greedy,20338.0,5.078315734863281e-05,-I 251 -N 10 -n 24 -W 3000 -C 3000 -w light -m 1.5 -c corr
solve_branch_bound,53406.0,0.0005650520324707031,-I 401 -N 10 -n 24 -W 3000 -C 3000 -w heavy -m 1.5 -c corr
solve_bruteforce,24593.0,0.0006358623504638672,-I 221 -N 10 -n 24 -W 3000 -C 3000 -w light -m 1.0 -c corr
solve_greedy,0.0,3.3855438232421875e-05,-I 151 -N 10 -n 24 -W 3000 -C 3000 -w light -m 0.0 -c uni
solve_dynamic_cost,0.0,1.71661376953125e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.0 -c uni
solve_greedy,0.0,3.218650817871094e-05,-I 311 -N 10 -n 24 -W 3000 -C 3000 -w heavy -m 0.0 -c corr
solve_greedy,41071.0,5.1975250244140625e-05,-I 81 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 1.0 -c strong
solve_bruteforce,22763.0,0.0006117820739746094,-I 221 -N 10 -n 24 -W 3000 -C 3000 -w light -m 1.0 -c corr
solve_branch_bound,50233.0,0.0005588531494140625,-I 381 -N 10 -n 24 -W 3000 -C 3000 -w heavy -m 1.0 -c strong
solve_bruteforce,28239.0,0.11107301712036133,-I 181 -N 10 -n 24 -W 3000 -C 3000 -w light -m 0.5 -c uni
