method,result,elapsed,args
solve_greedy,38872.0,5.412101745605469e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,34363.0,0.008516788482666016,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,38872.0,4.506111145019531e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,38288.0,4.410743713378906e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,35461.0,4.291534423828125e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,26092.0,5.1975250244140625e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,34363.0,0.0054242610931396484,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,32636.0,4.506111145019531e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,39330.0,0.040920257568359375,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,34151.0,4.57763671875e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,39330.0,0.04429006576538086,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_bruteforce,32636.0,0.04587268829345703,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_bruteforce,34306.0,0.0397639274597168,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_bruteforce,34306.0,0.06732988357543945,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,39330.0,0.041783809661865234,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_bruteforce,34306.0,0.01762676239013672,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,32636.0,0.01330423355102539,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,25792.0,0.6600790023803711,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,25792.0,0.6053519248962402,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,34306.0,0.6628859043121338,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,38288.0,0.6763639450073242,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_bruteforce,32636.0,0.012922286987304688,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,34306.0,0.6649918556213379,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,32636.0,0.056524038314819336,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,34306.0,0.6902401447296143,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,26235.0,0.6140329837799072,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,34363.0,5.412101745605469e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,39330.0,0.016142845153808594,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,39874.0,5.1975250244140625e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,34363.0,0.00202178955078125,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,35461.0,4.792213439941406e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_bruteforce,38961.0,0.021778106689453125,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,39874.0,0.005818843841552734,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,32636.0,0.8146171569824219,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_bruteforce,34306.0,0.05829477310180664,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,26235.0,0.011442184448242188,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_bruteforce,38961.0,0.02607893943786621,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_bruteforce,35461.0,0.0032172203063964844,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,35461.0,4.792213439941406e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,39060.0,4.100799560546875e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,34363.0,4.291534423828125e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_bruteforce,34306.0,0.052722930908203125,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,25792.0,0.7886340618133545,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,39874.0,6.103515625e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,34363.0,0.9768221378326416,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_bruteforce,39330.0,0.024148941040039062,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,39330.0,0.022871017456054688,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,34306.0,0.9271831512451172,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,39060.0,0.00014400482177734375,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,39330.0,1.0684139728546143,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,34151.0,5.030632019042969e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,32636.0,1.0496258735656738,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_bruteforce,26235.0,0.018969058990478516,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,38961.0,0.012349128723144531,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,25792.0,5.125999450683594e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,34363.0,4.6253204345703125e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,25792.0,0.8422081470489502,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_bruteforce,26235.0,0.007071971893310547,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,38288.0,4.482269287109375e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,38288.0,4.38690185546875e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_bruteforce,35461.0,0.009093046188354492,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,35461.0,0.8576920032501221,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,38288.0,0.01961493492126465,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,38288.0,0.04206991195678711,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,39060.0,4.6253204345703125e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,38288.0,0.9772350788116455,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,39330.0,0.043359994888305664,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,38961.0,0.018325090408325195,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,32636.0,0.020025014877319336,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,38961.0,1.075981855392456,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_dynamic_cost,39874.0,0.829829216003418,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_greedy,38872.0,4.9114227294921875e-05,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
solve_branch_bound,25792.0,0.0024628639221191406,-I 1 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.8 -c uni
