instance,method,args
24 3547 431 529 2156 2306 765 2237 1024 1157 570 709 2322 631 738 2686 2868 1587 928 1898 242 2939 2902 1948 1820 2466 1801 2207 1240 1399 2603 1955 1492 1425 1061 1767 982 1043 2938 563 686 997 185 2269 2343 802 2523 345 854 1135,solve_bruteforce,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3547 431 529 2156 2306 765 2237 1024 1157 570 709 2322 631 738 2686 2868 1587 928 1898 242 2939 2902 1948 1820 2466 1801 2207 1240 1399 2603 1955 1492 1425 1061 1767 982 1043 2938 563 686 997 185 2269 2343 802 2523 345 854 1135,solve_branch_bound,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3547 431 529 2156 2306 765 2237 1024 1157 570 709 2322 631 738 2686 2868 1587 928 1898 242 2939 2902 1948 1820 2466 1801 2207 1240 1399 2603 1955 1492 1425 1061 1767 982 1043 2938 563 686 997 185 2269 2343 802 2523 345 854 1135,solve_greedy,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3547 431 529 2156 2306 765 2237 1024 1157 570 709 2322 631 738 2686 2868 1587 928 1898 242 2939 2902 1948 1820 2466 1801 2207 1240 1399 2603 1955 1492 1425 1061 1767 982 1043 2938 563 686 997 185 2269 2343 802 2523 345 854 1135,solve_dynamic_cost,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3738 2954 697 276 2343 2682 1584 1865 1991 1322 2536 2341 2082 317 147 2692 1242 2393 227 422 2129 850 27 1725 1156 8 310 2423 1104 1139 2922 1668 1270 1546 2325 875 369 719 1699 1723 2546 2478 178 2332 2398 501 2464 2129 1719,solve_bruteforce,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3738 2954 697 276 2343 2682 1584 1865 1991 1322 2536 2341 2082 317 147 2692 1242 2393 227 422 2129 850 27 1725 1156 8 310 2423 1104 1139 2922 1668 1270 1546 2325 875 369 719 1699 1723 2546 2478 178 2332 2398 501 2464 2129 1719,solve_branch_bound,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3738 2954 697 276 2343 2682 1584 1865 1991 1322 2536 2341 2082 317 147 2692 1242 2393 227 422 2129 850 27 1725 1156 8 310 2423 1104 1139 2922 1668 1270 1546 2325 875 369 719 1699 1723 2546 2478 178 2332 2398 501 2464 2129 1719,solve_greedy,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3738 2954 697 276 2343 2682 1584 1865 1991 1322 2536 2341 2082 317 147 2692 1242 2393 227 422 2129 850 27 1725 1156 8 310 2423 1104 1139 2922 1668 1270 1546 2325 875 369 719 1699 1723 2546 2478 178 2332 2398 501 2464 2129 1719,solve_dynamic_cost,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3206 1428 2624 2258 1896 716 2409 1074 2070 477 2554 143 2413 754 394 652 2542 1604 592 1973 1534 1302 1129 2815 498 85 2070 509 2063 2010 1702 2486 2918 331 1060 220 1053 2632 1469 2453 1813 1013 602 873 2313 1648 2232 2605 2483,solve_bruteforce,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
24 3206 1428 2624 2258 1896 716 2409 1074 2070 477 2554 143 2413 754 394 652 2542 1604 592 1973 1534 1302 1129 2815 498 85 2070 509 2063 2010 1702 2486 2918 331 1060 220 1053 2632 1469 2453 1813 1013 602 873 2313 1648 2232 2605 2483,solve_branch_bound,-I 0 -N 10 -n 24 -W 3000 -C 3000 -w bal -m 0.1 -c uni
