target,best_score,batch_size,mutation_rate,init_method,runtime
38667,30725,5,0.0,random,3.0010409355163574
44321,31478,5,0.0,random,3.0006768703460693
48073,43154,5,0.0,random,3.0009169578552246
49784,47105,5,0.0,random,3.0008509159088135
35770,22212,5,0.0,random,3.0001626014709473
45176,38281,5,0.0,random,3.001103162765503
50428,38732,5,0.0,random,3.0006818771362305
47153,47013,5,0.0,random,3.0010621547698975
39180,29635,5,0.0,random,3.0008671283721924
41567,34813,5,0.0,random,3.0001139640808105
33621,23226,5,0.0,random,3.000455856323242
13813,4044,5,0.0,random,3.0009310245513916
43182,28799,5,0.0,random,3.0007190704345703
45967,40712,5,0.0,random,3.0005698204040527
43222,34843,5,0.0,random,3.000131845474243
46847,38515,5,0.0,random,3.000471830368042
59121,51923,5,0.0,random,3.000868082046509
25679,16469,5,0.0,random,3.000638961791992
43413,41453,5,0.0,random,3.0007240772247314
37444,23247,5,0.0,random,3.000339984893799
47488,42180,5,0.0,random,3.0002670288085938
50757,43888,5,0.0,random,3.0000782012939453
40704,28011,5,0.0,random,3.000419855117798
45571,36009,5,0.0,random,3.000072956085205
18186,5138,5,0.0,random,3.000307083129883
41596,27939,5,0.0,random,3.000656843185425
55841,55046,5,0.0,random,3.0002481937408447
31840,23778,5,0.0,random,3.00044584274292
43131,28132,5,0.0,random,3.0009281635284424
38758,30308,5,0.0,random,3.0008671283721924
43208,39709,5,0.0,random,3.0000572204589844
50742,49661,5,0.0,random,3.000814914703369
45119,40473,5,0.0,random,3.000009775161743
53207,48680,5,0.0,random,3.000030994415283
39321,24083,5,0.0,random,3.0003039836883545
46883,46593,5,0.0,random,3.0006959438323975
33666,20771,5,0.0,random,3.0010910034179688
50603,48352,5,0.0,random,3.000758171081543
18007,6382,5,0.0,random,3.000152111053467
43343,32891,5,0.0,random,3.000805139541626
52258,50208,5,0.0,random,3.000528335571289
27772,20152,5,0.0,random,3.0005433559417725
55122,52074,5,0.0,random,3.00040602684021
51393,47965,5,0.0,random,3.000899076461792
56332,55466,5,0.0,random,3.000312089920044
19901,8975,5,0.0,random,3.0010879039764404
53330,48916,5,0.0,random,3.000883102416992
15470,7611,5,0.0,random,3.0007529258728027
34572,19684,5,0.0,random,3.0009829998016357
25628,14328,5,0.0,random,3.0007898807525635
38667,38667,5,0.01,random,3.0006120204925537
44321,43904,5,0.01,random,3.000736951828003
48073,47929,5,0.01,random,3.0000932216644287
49784,49784,5,0.01,random,3.0006940364837646
35770,35176,5,0.01,random,3.000155210494995
45176,45176,5,0.01,random,3.0007500648498535
50428,50278,5,0.01,random,3.000910997390747
47153,47153,5,0.01,random,3.0007948875427246
39180,38526,5,0.01,random,3.000870943069458
41567,41320,5,0.01,random,3.0011332035064697
33621,32836,5,0.01,random,3.000025749206543
13813,13813,5,0.01,random,3.0005741119384766
43182,42838,5,0.01,random,3.000322103500366
45967,45810,5,0.01,random,3.000483274459839
43222,42992,5,0.01,random,3.0000319480895996
46847,46847,5,0.01,random,3.0008461475372314
43413,43384,5,0.01,random,3.000429153442383
59121,58465,5,0.01,random,3.000952959060669
25679,25347,5,0.01,random,3.001120090484619
37444,36647,5,0.01,random,3.000128984451294
47488,47488,5,0.01,random,3.000502109527588
50757,50757,5,0.01,random,3.0009069442749023
40704,40504,5,0.01,random,3.0001919269561768
18186,17958,5,0.01,random,3.000302791595459
45571,45571,5,0.01,random,3.0010299682617188
41596,40961,5,0.01,random,3.0007429122924805
55841,55841,5,0.01,random,3.000153064727783
31840,31493,5,0.01,random,3.000800132751465
43131,43131,5,0.01,random,3.0010576248168945
38758,38178,5,0.01,random,3.0006980895996094
43208,43208,5,0.01,random,3.000548839569092
50742,50742,5,0.01,random,3.0003669261932373
45119,45119,5,0.01,random,3.0008420944213867
53207,53207,5,0.01,random,3.0001511573791504
39321,39063,5,0.01,random,3.0002329349517822
46883,46883,5,0.01,random,3.000377893447876
33666,33666,5,0.01,random,3.0008602142333984
43343,43256,5,0.01,random,3.0003652572631836
18007,18007,5,0.01,random,3.0002827644348145
50603,50603,5,0.01,random,3.0012431144714355
52258,52258,5,0.01,random,3.0006628036499023
27772,26989,5,0.01,random,3.00008225440979
55122,55004,5,0.01,random,3.000886917114258
51393,51393,5,0.01,random,3.000246047973633
19901,19901,5,0.01,random,3.000731945037842
53330,53330,5,0.01,random,3.0006587505340576
56332,56332,5,0.01,random,3.0017099380493164
15470,15470,5,0.01,random,3.0003581047058105
34572,34335,5,0.01,random,3.000892162322998
25628,24916,5,0.01,random,3.0008177757263184
38667,38531,5,0.02,random,3.0001158714294434
44321,43738,5,0.02,random,3.0005218982696533
48073,47913,5,0.02,random,3.0004889965057373
49784,49784,5,0.02,random,3.00115704536438
35770,34752,5,0.02,random,3.00040602684021
45176,44887,5,0.02,random,3.0001959800720215
50428,50428,5,0.02,random,3.0008139610290527
47153,47153,5,0.02,random,3.0006442070007324
39180,38751,5,0.02,random,3.0003840923309326
41567,41353,5,0.02,random,3.000816822052002
13813,13813,5,0.02,random,3.0010387897491455
33621,33084,5,0.02,random,3.000636339187622
43182,42564,5,0.02,random,3.0010359287261963
45967,45810,5,0.02,random,3.000545024871826
43222,43222,5,0.02,random,3.001640796661377
46847,46668,5,0.02,random,3.00097393989563
59121,59121,5,0.02,random,3.0009889602661133
25679,25137,5,0.02,random,3.000359058380127
43413,43413,5,0.02,random,3.000221014022827
37444,36348,5,0.02,random,3.0007171630859375
47488,47488,5,0.02,random,3.0007781982421875
50757,50757,5,0.02,random,3.000739812850952
40704,39870,5,0.02,random,3.00061297416687
18186,18186,5,0.02,random,3.0000970363616943
45571,44881,5,0.02,random,3.000408172607422
41596,41205,5,0.02,random,3.0010201930999756
55841,55823,5,0.02,random,3.0002429485321045
43131,42593,5,0.02,random,3.0006117820739746
31840,30962,5,0.02,random,3.0033648014068604
38758,37862,5,0.02,random,3.000793933868408
43208,43208,5,0.02,random,3.0009942054748535
50742,50742,5,0.02,random,3.001027822494507
45119,44782,5,0.02,random,3.000393867492676
53207,53161,5,0.02,random,3.000173807144165
39321,39123,5,0.02,random,3.000377893447876
46883,46883,5,0.02,random,3.000586986541748
33666,33403,5,0.02,random,3.0004799365997314
50603,50491,5,0.02,random,3.0003929138183594
43343,43184,5,0.02,random,3.0006511211395264
18007,17826,5,0.02,random,3.0009820461273193
52258,52258,5,0.02,random,3.0004541873931885
27772,27057,5,0.02,random,3.00022292137146
55122,55122,5,0.02,random,3.0007071495056152
51393,51190,5,0.02,random,3.000246047973633
19901,19901,5,0.02,random,3.0009281635284424
56332,56332,5,0.02,random,3.0008888244628906
53330,53330,5,0.02,random,3.0001399517059326
15470,15470,5,0.02,random,3.000246047973633
25628,25078,5,0.02,random,3.000584125518799
34572,33984,5,0.02,random,3.001096248626709
38667,37392,5,0.04,random,3.000372886657715
48073,47226,5,0.04,random,3.000070810317993
44321,42396,5,0.04,random,3.0007808208465576
49784,49210,5,0.04,random,3.0001919269561768
35770,34089,5,0.04,random,3.0005381107330322
45176,43085,5,0.04,random,3.0000579357147217
50428,49267,5,0.04,random,3.000839948654175
47153,47013,5,0.04,random,3.0000619888305664
39180,36951,5,0.04,random,3.0008158683776855
41567,40742,5,0.04,random,3.000641107559204
13813,13813,5,0.04,random,3.000358819961548
33621,31781,5,0.04,random,3.00063419342041
43182,41051,5,0.04,random,3.0011022090911865
45967,45107,5,0.04,random,3.0005202293395996
43222,42049,5,0.04,random,3.0003180503845215
46847,45501,5,0.04,random,3.000088930130005
