target,best_score,batch_size,mutation_rate
38667,30756,5,0.0
44321,38349,5,0.0
48073,43191,5,0.0
49784,48681,5,0.0
35770,22570,5,0.0
45176,37401,5,0.0
50428,42562,5,0.0
47153,47013,5,0.0
39180,27230,5,0.0
41567,30008,5,0.0
13813,7507,5,0.0
33621,20362,5,0.0
43182,28665,5,0.0
45967,36932,5,0.0
43222,32427,5,0.0
46847,41606,5,0.0
59121,50849,5,0.0
25679,16222,5,0.0
43413,39510,5,0.0
37444,27092,5,0.0
47488,44825,5,0.0
40704,32642,5,0.0
50757,42903,5,0.0
45571,30783,5,0.0
18186,3850,5,0.0
41596,26036,5,0.0
55841,53219,5,0.0
31840,21675,5,0.0
43131,28143,5,0.0
38758,29567,5,0.0
43208,40522,5,0.0
50742,47158,5,0.0
45119,41971,5,0.0
53207,48917,5,0.0
39321,23377,5,0.0
46883,46140,5,0.0
33666,24835,5,0.0
50603,46700,5,0.0
43343,38241,5,0.0
18007,5222,5,0.0
52258,46888,5,0.0
27772,19341,5,0.0
55122,51738,5,0.0
51393,47943,5,0.0
56332,54700,5,0.0
19901,4799,5,0.0
53330,49155,5,0.0
15470,5782,5,0.0
34572,24121,5,0.0
38667,37903,5,0.01
25628,15830,5,0.0
44321,43418,5,0.01
48073,47875,5,0.01
45176,44518,5,0.01
35770,34849,5,0.01
49784,49784,5,0.01
50428,49990,5,0.01
47153,47153,5,0.01
39180,38746,5,0.01
41567,41137,5,0.01
13813,13680,5,0.01
33621,32698,5,0.01
43182,42639,5,0.01
45967,45733,5,0.01
43222,43222,5,0.01
46847,46668,5,0.01
59121,58718,5,0.01
25679,24680,5,0.01
43413,43413,5,0.01
37444,36779,5,0.01
47488,47488,5,0.01
50757,50757,5,0.01
40704,40186,5,0.01
45571,45207,5,0.01
18186,18186,5,0.01
41596,40529,5,0.01
55841,55841,5,0.01
31840,31706,5,0.01
43131,42991,5,0.01
38758,37944,5,0.01
43208,43208,5,0.01
50742,50742,5,0.01
45119,45119,5,0.01
53207,53207,5,0.01
39321,39321,5,0.01
46883,46883,5,0.01
33666,32839,5,0.01
50603,50225,5,0.01
43343,43139,5,0.01
18007,17826,5,0.01
52258,52258,5,0.01
27772,26931,5,0.01
55122,55122,5,0.01
51393,51393,5,0.01
56332,56332,5,0.01
19901,19613,5,0.01
53330,53023,5,0.01
15470,15470,5,0.01
34572,34056,5,0.01
25628,25310,5,0.01
38667,38208,5,0.02
44321,43115,5,0.02
