batch_size,mutation_rate,problem_path,init_type,fitness_type,solved_time
20,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0166.mwcnf,allfalse,correct_count,0.20463824272155762
40,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0564.mwcnf,uniform,correct_count,0.3869895935058594
40,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0431.mwcnf,allfalse,correct_count,0.8578624725341797
10,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0281.mwcnf,uniform,correct_count,1.4137275218963623
5,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0564.mwcnf,allfalse,sum_or_nothing,
5,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0668.mwcnf,allfalse,correct_count,
20,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0143.mwcnf,allfalse,sum_or_nothing,
5,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0722.mwcnf,allfalse,correct_count,
40,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0668.mwcnf,uniform,sum_or_nothing,
20,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0284.mwcnf,uniform,sum_or_nothing,
10,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0737.mwcnf,allfalse,sum_or_nothing,
20,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0977.mwcnf,uniform,sum_or_nothing,
5,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0551.mwcnf,allfalse,correct_count,
5,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0496.mwcnf,allfalse,sum_or_nothing,
40,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0119.mwcnf,uniform,sum_or_nothing,
40,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0337.mwcnf,uniform,correct_count,
80,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0575.mwcnf,uniform,sum_or_nothing,
320,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0950.mwcnf,allfalse,sum_or_nothing,
160,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0376.mwcnf,allfalse,correct_count,
320,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0913.mwcnf,allfalse,sum_or_nothing,
10,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0376.mwcnf,allfalse,sum_or_nothing,
10,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0580.mwcnf,allfalse,sum_or_nothing,
10,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0115.mwcnf,uniform,correct_count,
160,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0817.mwcnf,uniform,sum_or_nothing,
10,0.01,data/wuf-N1/wuf50-201-N1/wuf50-05.mwcnf,uniform,correct_count,
320,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0376.mwcnf,allfalse,sum_or_nothing,
160,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0634.mwcnf,allfalse,correct_count,
320,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0166.mwcnf,uniform,sum_or_nothing,
80,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0873.mwcnf,allfalse,correct_count,
40,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0757.mwcnf,uniform,correct_count,
80,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0757.mwcnf,allfalse,correct_count,
160,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0371.mwcnf,uniform,sum_or_nothing,
160,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0655.mwcnf,uniform,correct_count,
320,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0416.mwcnf,uniform,correct_count,
80,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0940.mwcnf,allfalse,sum_or_nothing,
640,0.32,data/wuf-N1/wuf50-201-N1/wuf50-07.mwcnf,uniform,sum_or_nothing,
1280,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0998.mwcnf,uniform,sum_or_nothing,
20,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0523.mwcnf,allfalse,sum_or_nothing,
1280,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0281.mwcnf,allfalse,sum_or_nothing,
40,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0543.mwcnf,allfalse,correct_count,0.5914006233215332
5,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0353.mwcnf,uniform,correct_count,0.6932055950164795
80,0.32,data/wuf-N1/wuf50-201-N1/wuf50-07.mwcnf,uniform,correct_count,
10,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0496.mwcnf,allfalse,sum_or_nothing,
80,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0741.mwcnf,allfalse,sum_or_nothing,
40,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0564.mwcnf,allfalse,correct_count,
80,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0977.mwcnf,uniform,correct_count,1.982224941253662
5,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0199.mwcnf,allfalse,sum_or_nothing,
20,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0466.mwcnf,allfalse,sum_or_nothing,
80,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0166.mwcnf,allfalse,correct_count,
10,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0194.mwcnf,allfalse,sum_or_nothing,
10,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0523.mwcnf,uniform,sum_or_nothing,
20,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0248.mwcnf,uniform,correct_count,
160,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0281.mwcnf,uniform,sum_or_nothing,
160,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0604.mwcnf,allfalse,correct_count,
160,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0901.mwcnf,uniform,correct_count,
320,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0741.mwcnf,allfalse,sum_or_nothing,
160,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0664.mwcnf,allfalse,correct_count,
20,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0722.mwcnf,uniform,correct_count,
160,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0371.mwcnf,uniform,correct_count,
640,0.0,data/wuf-N1/wuf50-201-N1/wuf50-07.mwcnf,allfalse,sum_or_nothing,
640,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0580.mwcnf,allfalse,sum_or_nothing,
160,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0353.mwcnf,allfalse,sum_or_nothing,
320,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0166.mwcnf,uniform,sum_or_nothing,
320,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0353.mwcnf,uniform,sum_or_nothing,
320,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0543.mwcnf,uniform,correct_count,
320,0.04,data/wuf-N1/wuf50-201-N1/wuf50-062.mwcnf,uniform,sum_or_nothing,
