opcount,elapsed,optimizations,size,itype
1031,0.004499383000000079,set(),22,ZR
3,3.2553999999906935e-05,"{'residuals', 'weight'}",22,NR
3,3.758000000009254e-05,set(),22,NR
57,0.0005358830000000703,"{'residuals', 'weight'}",15,ZR
12,9.045100000004691e-05,set(),4,ZR
1043,0.004001735999999978,set(),25,ZR
24,0.00028798600000001784,"{'residuals', 'weight'}",22,ZR
95,0.00044874900000002604,"{'residuals', 'weight'}",25,NR
15,0.00016045400000008758,"{'residuals', 'weight'}",22,NR
65535,0.300804835,set(),15,NR
2047,0.008849714000000009,set(),10,NR
9,0.0001017899999999905,"{'residuals', 'weight'}",4,NR
2047,0.008059405999999991,set(),10,NR
395,0.0014865350000000666,set(),15,ZR
3991685,25.999946562999998,"{'residuals', 'weight'}",25,ZR
19,0.00012641000000002123,"{'residuals', 'weight'}",10,NR
10,8.298000000195316e-05,"{'residuals', 'weight'}",15,NR
8388607,36.477022615,set(),22,NR
60002,0.5434041740000026,"{'residuals', 'weight'}",20,ZR
11,0.00013635199999839642,"{'residuals', 'weight'}",4,ZR
8388607,36.796119787,set(),22,NR
114706,0.6856096770000022,set(),22,ZR
9,0.00013941199999578657,set(),20,NR
1,4.316500000101087e-05,"{'residuals', 'weight'}",4,NR
65535,0.3206516150000027,set(),15,NR
1,3.0010999999774413e-05,"{'residuals', 'weight'}",15,NR
18,0.00016465500000606426,set(),4,ZR
21,0.0002568100000033269,"{'residuals', 'weight'}",4,ZR
2450905,17.967863014000002,"{'residuals', 'weight'}",25,ZR
31,0.00011534400000101641,set(),4,NR
520,0.0019840050000041742,set(),15,NR
8,4.2315000001735825e-05,set(),4,ZR
6,5.510199999747556e-05,"{'residuals', 'weight'}",4,ZR
17632,0.07666366899999844,set(),25,ZR
34348,0.16624785799999842,set(),15,ZR
31,0.00011620700000491979,set(),4,NR
6,4.846499999899834e-05,set(),10,NR
43,0.00046169800000228634,"{'residuals', 'weight'}",22,ZR
68,0.0007146919999954093,"{'residuals', 'weight'}",20,ZR
840,0.007265348000004224,"{'residuals', 'weight'}",25,NR
291,0.002863546000000383,"{'residuals', 'weight'}",20,ZR
65535,0.2858140570000032,set(),15,NR
2,2.8254999996590868e-05,"{'residuals', 'weight'}",10,NR
1522,0.0049392039999958115,set(),25,ZR
5633,0.023011947999997062,set(),25,ZR
479,0.0017487789999961478,set(),20,ZR
31,0.0002157449999984351,set(),4,NR
1038325,4.688942086000004,set(),20,NR
8388607,39.2630899,set(),22,NR
8388607,37.739352645,set(),22,NR
3,6.391099999802918e-05,"{'residuals', 'weight'}",4,NR
8388607,38.714323742000005,set(),22,ZR
50,0.0003193099999947435,"{'residuals', 'weight'}",22,ZR
72,0.0002740250000101696,set(),10,ZR
67108863,302.686110112,set(),25,NR
67108863,303.308995083,set(),25,ZR
64514,0.2943150990000163,set(),15,NR
8388607,37.41827334499999,set(),22,ZR
232,0.0013359710000031555,"{'residuals', 'weight'}",22,ZR
79,0.0005479309999714133,"{'residuals', 'weight'}",15,NR
36152,0.15464853899999298,set(),22,ZR
4,4.740500003208581e-05,"{'residuals', 'weight'}",10,NR
23,0.0001088070000037078,set(),4,ZR
21,0.00030949000000646265,"{'residuals', 'weight'}",15,NR
10804,0.0457603710000285,set(),25,ZR
5,7.948600000418082e-05,"{'residuals', 'weight'}",15,NR
8388607,36.71080870000003,set(),22,NR
22,0.00015992100003359155,"{'residuals', 'weight'}",10,ZR
