opcount,elapsed,optimizations,size,itype
1,2.2984000000003668e-05,{'residuals'},4,NR
10,0.00017861999999990719,"{'weight', 'residuals'}",20,NR
479,0.003651925999999972,{'residuals'},15,NR
94,0.0005550579999999972,{'weight'},25,NR
1011,0.007622629999999964,{'residuals'},22,ZR
29,0.0003146630000000483,{'weight'},4,ZR
195371,1.1113984869999998,set(),22,NR
3,4.151199999991029e-05,{'weight'},4,NR
33,0.00023972400000005223,{'weight'},15,ZR
23556,0.13303766100000014,set(),15,NR
29,0.001117142999999876,{'weight'},4,NR
178,0.001105752000000182,{'weight'},10,ZR
65391,0.4183054329999998,{'weight'},15,NR
27,0.00018615300000002222,{'weight'},4,NR
214467,1.808367284,"{'weight', 'residuals'}",20,ZR
1221,0.007389268000000282,{'weight'},15,NR
246325,2.022417236,"{'weight', 'residuals'}",20,ZR
73,0.0006783010000002143,"{'weight', 'residuals'}",25,ZR
65440,0.3801374310000001,set(),15,NR
35300,0.26396036700000014,{'residuals'},22,ZR
6465,0.053379717999999965,{'residuals'},22,NR
5,5.772000000003885e-05,set(),20,NR
3,3.593600000018071e-05,{'weight'},15,NR
439215,3.6539781390000003,"{'weight', 'residuals'}",20,ZR
488693,3.6840799010000005,{'residuals'},20,ZR
460685,3.700157165,"{'weight', 'residuals'}",20,ZR
65535,0.38285334200000065,set(),15,NR
26,0.0002576699999998766,set(),22,NR
3,4.945700000025255e-05,"{'weight', 'residuals'}",15,NR
538,0.0033968770000001314,{'weight'},25,ZR
8,8.474799999991234e-05,"{'weight', 'residuals'}",4,NR
21,0.0002248160000002386,"{'weight', 'residuals'}",10,NR
1676,0.012251569999999212,{'residuals'},22,ZR
8416,0.056036491999999605,{'weight'},22,ZR
2,3.1255000000562916e-05,{'residuals'},4,NR
1670,0.012079987999999986,{'residuals'},20,ZR
6,0.00010260100000003547,"{'weight', 'residuals'}",20,NR
2,3.326800000014174e-05,"{'weight', 'residuals'}",25,NR
4,4.9699999999930355e-05,{'weight'},10,NR
90,0.0008577019999993496,"{'weight', 'residuals'}",25,ZR
1933,0.012194116999999949,{'weight'},10,ZR
21855,0.1781890930000003,"{'weight', 'residuals'}",15,ZR
310,0.0026476650000004653,"{'weight', 'residuals'}",15,NR
18,0.0002842709999999471,"{'weight', 'residuals'}",25,ZR
373,0.0030519209999999575,"{'weight', 'residuals'}",10,ZR
17,0.0001717670000003224,"{'weight', 'residuals'}",4,ZR
230431,1.970558381,"{'weight', 'residuals'}",20,ZR
25,0.0002566410000000019,{'weight'},22,ZR
722433,4.527942856,{'weight'},20,NR
344119,2.759152911,{'residuals'},20,ZR
335,0.002719199000000394,"{'weight', 'residuals'}",20,ZR
4,5.276600000048148e-05,set(),25,NR
11,8.819999999953865e-05,set(),4,ZR
2,2.9366000000585757e-05,"{'weight', 'residuals'}",4,NR
2,2.07989999996272e-05,{'weight'},4,NR
198,0.0016824670000001873,"{'weight', 'residuals'}",25,ZR
3,4.171700000021872e-05,{'weight'},22,NR
642193,5.162478581000001,{'residuals'},20,ZR
2097151,13.953465009000002,set(),20,ZR
90226,0.890917715999997,"{'weight', 'residuals'}",22,ZR
2097151,14.037458898999999,set(),20,ZR
