method,result,elapsed,args
solve_bruteforce,17726.0,0.0002529621124267578,-I 130 -N 10 -n 10 -W 3000 -C 3000 -w bal -m 2.0 -c corr
solve_greedy,8274.0,2.8848648071289062e-05,-I 220 -N 10 -n 10 -W 3000 -C 3000 -w light -m 1.05 -c corr
solve_dynamic_cost,10327.0,0.0016911029815673828,-I 40 -N 10 -n 10 -W 3000 -C 3000 -w bal -m 0.575 -c corr
solve_branch_bound,2748.0,0.00046324729919433594,-I 300 -N 10 -n 10 -W 3000 -C 3000 -w heavy -m 0.1 -c uni
solve_greedy,10379.0,2.47955322265625e-05,-I 40 -N 10 -n 10 -W 3000 -C 3000 -w bal -m 0.575 -c corr
solve_branch_bound,8386.0,0.0004088878631591797,-I 250 -N 10 -n 10 -W 3000 -C 3000 -w light -m 1.525 -c corr
solve_greedy,1406.0,2.3126602172851562e-05,-I 310 -N 10 -n 10 -W 3000 -C 3000 -w heavy -m 0.1 -c corr
solve_greedy,6859.0,2.3126602172851562e-05,-I 200 -N 10 -n 10 -W 3000 -C 3000 -w light -m 0.575 -c strong
solve_greedy,15696.0,2.4080276489257812e-05,-I 130 -N 10 -n 10 -W 3000 -C 3000 -w bal -m 2.0 -c corr
solve_bruteforce,18987.0,0.0002810955047607422,-I 380 -N 10 -n 10 -W 3000 -C 3000 -w heavy -m 1.05 -c strong
solve_dynamic_cost,13928.0,0.002022981643676758,-I 340 -N 10 -n 10 -W 3000 -C 3000 -w heavy -m 0.575 -c corr
solve_greedy,16534.0,3.0994415283203125e-05,-I 110 -N 10 -n 10 -W 3000 -C 3000 -w bal -m 1.525 -c strong
solve_dynamic_cost,4105.0,7.82012939453125e-05,-I 150 -N 10 -n 10 -W 3000 -C 3000 -w light -m 0.1 -c uni
solve_bruteforce,23598.0,0.00043010711669921875,-I 440 -N 10 -n 10 -W 3000 -C 3000 -w heavy -m 2.0 -c strong
solve_branch_bound,12712.0,0.00026297569274902344,-I 120 -N 10 -n 10 -W 3000 -C 3000 -w bal -m 2.0 -c uni
solve_greedy,4158.0,2.4080276489257812e-05,-I 300 -N 10 -n 10 -W 3000 -C 3000 -w heavy -m 0.1 -c uni
