dataset,size,key,elapsed,delta
ZKW,25,greedy_redux,7.176399230957031e-05,0.0
ZKC,4,solve_ftapas_07,0.00023984909057617188,0.0
NK,25,greedy_redux,6.794929504394531e-05,0.0
NK,4,solve_ftapas_05,0.0002830028533935547,1129.0
ZKW,10,branch_bound,0.00029397010803222656,0.0
NK,15,solve_ftapas_05,0.0063970088958740234,271.0
ZKC,10,dynamic_cost,0.002331972122192383,0.0
NK,4,branch_bound,0.00014019012451171875,0.0
ZKC,10,greedy_redux,4.506111145019531e-05,538.0
NK,15,branch_bound,0.011013984680175781,0.0
ZKC,22,dynamic_cost,0.031640052795410156,0.0
ZKC,22,solve_ftapas_05,0.020521163940429688,52.0
NK,4,greedy_simple,2.002716064453125e-05,0.0
ZKW,15,solve_ftapas_07,0.002203702926635742,0.0
NK,20,solve_ftapas_03,0.029318809509277344,366.0
ZKC,15,branch_bound,0.08686494827270508,0.0
NK,20,branch_bound,0.08843803405761719,0.0
ZKW,4,dynamic_weight,0.011838912963867188,0.0
ZKW,4,solve_ftapas_03,0.00035881996154785156,1207.0
NK,22,solve_ftapas_07,0.01576399803161621,3.0
ZKW,15,branch_bound,0.0023729801177978516,0.0
NK,4,dynamic_cost,2.002716064453125e-05,0.0
NK,10,greedy_redux,4.100799560546875e-05,88.0
ZKC,20,solve_ftapas_03,0.03326582908630371,0.0
ZKC,15,greedy_simple,3.695487976074219e-05,337.0
ZKW,20,solve_ftapas_07,0.008718013763427734,5078.0
ZKW,20,solve_ftapas_03,0.019992828369140625,0.0
ZKW,22,solve_ftapas_07,0.0026319026947021484,23619.0
NK,15,greedy_simple,3.4809112548828125e-05,0.0
NK,15,solve_ftapas_07,0.0031752586364746094,271.0
ZKW,20,greedy_redux,6.699562072753906e-05,0.0
NK,20,dynamic_cost,0.02123284339904785,0.0
ZKW,15,solve_ftapas_03,0.00882101058959961,0.0
ZKW,20,solve_ftapas_05,0.00926518440246582,0.0
NK,22,greedy_redux,7.915496826171875e-05,0.0
NK,10,dynamic_weight,0.1237189769744873,0.0
ZKW,25,solve_ftapas_07,0.015523195266723633,0.0
NK,20,greedy_simple,3.910064697265625e-05,0.0
ZKC,10,branch_bound,0.0023910999298095703,0.0
ZKW,4,solve_ftapas_05,0.00028514862060546875,1207.0
NK,25,solve_ftapas_03,0.04789924621582031,399.0
NK,25,branch_bound,0.8010380268096924,0.0
ZKC,15,solve_ftapas_05,0.008094072341918945,0.0
NK,20,dynamic_weight,0.8063750267028809,0.0
NK,22,solve_ftapas_03,0.037322998046875,3.0
ZKC,22,dynamic_weight,1.048388957977295,0.0
NK,22,branch_bound,0.2424168586730957,0.0
ZKC,25,dynamic_weight,1.5249981880187988,0.0
ZKC,4,solve_ftapas_03,0.00043010711669921875,0.0
ZKW,4,greedy_simple,2.384185791015625e-05,78.0
NK,10,branch_bound,0.0012862682342529297,0.0
NK,25,dynamic_cost,0.039147138595581055,0.0
NK,10,dynamic_cost,0.00033092498779296875,0.0
NK,4,dynamic_weight,0.018532276153564453,0.0
ZKC,20,solve_ftapas_07,0.014714956283569336,0.0
ZKC,20,greedy_simple,4.792213439941406e-05,516.0
ZKW,22,dynamic_weight,1.684530258178711,0.0
ZKW,4,solve_ftapas_07,0.00024008750915527344,1207.0
NK,10,solve_ftapas_05,0.0014519691467285156,91.0
ZKC,15,dynamic_weight,0.40696024894714355,0.0
NK,20,solve_ftapas_07,0.009106874465942383,366.0
ZKW,15,greedy_simple,3.0994415283203125e-05,0.0
ZKW,4,branch_bound,0.00018405914306640625,0.0
NK,4,solve_ftapas_07,0.00028586387634277344,1129.0
ZKC,22,solve_ftapas_07,0.019140005111694336,12.0
ZKW,22,greedy_simple,3.409385681152344e-05,21683.0
ZKC,15,dynamic_cost,0.006864070892333984,0.0
ZKW,22,dynamic_cost,0.00010132789611816406,0.0
ZKW,4,dynamic_cost,1.9073486328125e-05,0.0
NK,25,greedy_simple,4.8160552978515625e-05,0.0
ZKC,25,solve_ftapas_03,0.06168007850646973,0.0
