target,best_score,batch_size,mutation_rate
38667,38028,10,0.01
44321,43318,10,0.01
48073,47929,10,0.01
49784,49784,10,0.01
35770,35770,10,0.01
45176,45176,10,0.01
50428,50428,10,0.01
47153,47153,10,0.01
39180,38796,10,0.01
41567,41567,10,0.01
38667,38173,10,0.03
44321,43720,10,0.03
48073,48060,10,0.03
49784,49784,10,0.03
35770,34695,10,0.03
45176,44547,10,0.03
47153,47153,10,0.03
50428,49946,10,0.03
39180,38421,10,0.03
41567,41336,10,0.03
38667,37133,10,0.05
44321,43102,10,0.05
48073,47530,10,0.05
35770,33963,10,0.05
49784,49323,10,0.05
45176,42904,10,0.05
50428,49230,10,0.05
47153,47032,10,0.05
39180,38072,10,0.05
41567,40557,10,0.05
38667,37151,10,0.07
44321,41296,10,0.07
48073,46845,10,0.07
49784,48553,10,0.07
35770,34697,10,0.07
45176,42245,10,0.07
50428,47888,10,0.07
47153,46930,10,0.07
39180,37205,10,0.07
41567,39705,10,0.07
38667,35761,10,0.1
44321,40870,10,0.1
48073,45698,10,0.1
49784,48740,10,0.1
45176,41531,10,0.1
35770,32407,10,0.1
50428,47544,10,0.1
47153,47153,10,0.1
39180,35597,10,0.1
41567,39874,10,0.1
38667,34408,10,0.15
44321,39627,10,0.15
48073,45147,10,0.15
49784,47808,10,0.15
35770,32416,10,0.15
45176,40690,10,0.15
50428,46479,10,0.15
47153,47153,10,0.15
39180,36018,10,0.15
41567,39177,10,0.15
44321,38222,10,0.3
38667,33876,10,0.3
48073,43368,10,0.3
49784,48193,10,0.3
35770,32431,10,0.3
45176,40672,10,0.3
50428,43861,10,0.3
39180,34384,10,0.3
47153,47153,10,0.3
41567,38150,10,0.3
38667,38667,20,0.01
44321,43969,20,0.01
48073,47929,20,0.01
49784,49784,20,0.01
45176,45176,20,0.01
35770,35770,20,0.01
50428,50428,20,0.01
47153,47153,20,0.01
39180,39180,20,0.01
41567,41320,20,0.01
38667,38021,20,0.03
44321,43947,20,0.03
48073,47888,20,0.03
49784,49784,20,0.03
35770,35198,20,0.03
45176,44887,20,0.03
50428,50145,20,0.03
47153,47153,20,0.03
39180,38930,20,0.03
41567,41140,20,0.03
38667,37327,20,0.05
44321,42850,20,0.05
48073,47794,20,0.05
49784,49784,20,0.05
35770,33696,20,0.05
45176,43745,20,0.05
50428,48863,20,0.05
47153,47105,20,0.05
39180,38022,20,0.05
41567,41374,20,0.05
38667,36983,20,0.07
44321,41072,20,0.07
48073,46966,20,0.07
49784,48601,20,0.07
35770,33405,20,0.07
45176,43221,20,0.07
50428,49402,20,0.07
47153,46898,20,0.07
39180,36949,20,0.07
38667,35705,20,0.1
41567,40598,20,0.07
44321,41084,20,0.1
48073,45822,20,0.1
49784,48144,20,0.1
35770,32924,20,0.1
50428,46524,20,0.1
45176,41955,20,0.1
47153,47153,20,0.1
39180,36743,20,0.1
41567,38925,20,0.1
38667,34039,20,0.15
44321,41751,20,0.15
49784,48393,20,0.15
48073,45167,20,0.15
35770,33744,20,0.15
45176,40549,20,0.15
50428,46646,20,0.15
47153,47013,20,0.15
39180,35478,20,0.15
41567,38101,20,0.15
44321,38696,20,0.3
38667,34507,20,0.3
48073,43496,20,0.3
49784,49132,20,0.3
35770,31941,20,0.3
45176,39966,20,0.3
50428,43185,20,0.3
39180,34913,20,0.3
47153,47153,20,0.3
41567,37006,20,0.3
38667,38253,40,0.01
44321,44321,40,0.01
48073,48060,40,0.01
49784,49784,40,0.01
45176,45176,40,0.01
35770,35770,40,0.01
50428,50428,40,0.01
47153,47153,40,0.01
39180,39180,40,0.01
41567,41473,40,0.01
38667,38310,40,0.03
48073,48057,40,0.03
44321,44071,40,0.03
49784,49784,40,0.03
35770,35000,40,0.03
45176,44820,40,0.03
50428,50428,40,0.03
47153,47153,40,0.03
39180,38995,40,0.03
41567,41567,40,0.03
38667,37339,40,0.05
44321,42684,40,0.05
48073,47486,40,0.05
35770,33964,40,0.05
49784,49506,40,0.05
45176,44297,40,0.05
50428,49280,40,0.05
47153,47153,40,0.05
39180,38431,40,0.05
41567,40685,40,0.05
44321,42186,40,0.07
38667,36991,40,0.07
48073,46502,40,0.07
49784,49659,40,0.07
35770,33950,40,0.07
45176,42404,40,0.07
50428,48157,40,0.07
47153,47153,40,0.07
39180,36958,40,0.07
41567,39327,40,0.07
38667,36600,40,0.1
44321,41071,40,0.1
48073,46602,40,0.1
49784,49132,40,0.1
35770,33125,40,0.1
45176,41509,40,0.1
50428,47170,40,0.1
47153,47153,40,0.1
39180,35740,40,0.1
41567,38523,40,0.1
38667,35044,40,0.15
44321,40362,40,0.15
48073,44555,40,0.15
49784,49080,40,0.15
35770,33469,40,0.15
45176,40592,40,0.15
50428,45752,40,0.15
47153,47118,40,0.15
39180,35406,40,0.15
41567,38753,40,0.15
38667,34283,40,0.3
44321,38794,40,0.3
48073,46254,40,0.3
49784,48972,40,0.3
35770,34112,40,0.3
45176,40691,40,0.3
47153,47153,40,0.3
50428,43281,40,0.3
39180,34324,40,0.3
41567,38130,40,0.3
38667,38667,80,0.01
44321,43838,80,0.01
48073,48073,80,0.01
35770,35770,80,0.01
49784,49784,80,0.01
45176,45176,80,0.01
50428,50428,80,0.01
39180,39180,80,0.01
47153,47153,80,0.01
38667,38667,80,0.03
41567,41479,80,0.01
44321,43355,80,0.03
48073,47926,80,0.03
49784,49784,80,0.03
35770,35770,80,0.03
45176,44686,80,0.03
47153,47153,80,0.03
39180,38930,80,0.03
50428,50428,80,0.03
41567,41441,80,0.03
38667,37514,80,0.05
44321,43088,80,0.05
48073,47592,80,0.05
49784,49546,80,0.05
35770,34140,80,0.05
45176,44124,80,0.05
50428,49062,80,0.05
47153,47118,80,0.05
39180,38256,80,0.05
41567,40976,80,0.05
38667,38021,80,0.07
48073,46595,80,0.07
44321,42009,80,0.07
49784,49671,80,0.07
35770,33787,80,0.07
45176,42442,80,0.07
50428,48280,80,0.07
39180,36970,80,0.07
47153,47153,80,0.07
44321,40870,80,0.1
41567,40550,80,0.07
38667,36434,80,0.1
48073,46376,80,0.1
49784,49671,80,0.1
35770,32764,80,0.1
45176,41662,80,0.1
50428,47768,80,0.1
47153,47153,80,0.1
39180,36788,80,0.1
41567,38575,80,0.1
38667,35849,80,0.15
44321,40588,80,0.15
35770,32409,80,0.15
45176,40933,80,0.15
49784,49659,80,0.15
48073,44984,80,0.15
47153,47153,80,0.15
50428,46219,80,0.15
39180,35628,80,0.15
38667,33926,80,0.3
41567,37846,80,0.15
44321,39802,80,0.3
48073,45333,80,0.3
35770,33517,80,0.3
49784,49563,80,0.3
45176,40152,80,0.3
39180,35329,80,0.3
50428,44147,80,0.3
47153,47153,80,0.3
41567,37684,80,0.3
44321,43969,160,0.01
38667,38667,160,0.01
48073,48073,160,0.01
35770,35770,160,0.01
45176,45176,160,0.01
50428,50428,160,0.01
49784,49784,160,0.01
39180,39180,160,0.01
47153,47153,160,0.01
41567,41431,160,0.01
44321,43969,160,0.03
38667,38397,160,0.03
49784,49784,160,0.03
48073,48057,160,0.03
45176,44574,160,0.03
35770,35723,160,0.03
39180,38947,160,0.03
50428,50428,160,0.03
47153,47153,160,0.03
41567,41396,160,0.03
38667,37898,160,0.05
44321,43256,160,0.05
48073,47391,160,0.05
49784,49767,160,0.05
35770,34846,160,0.05
45176,43666,160,0.05
50428,49109,160,0.05
47153,47153,160,0.05
39180,38272,160,0.05
41567,40745,160,0.05
38667,36321,160,0.07
48073,48073,160,0.07
44321,41833,160,0.07
35770,33159,160,0.07
49784,49784,160,0.07
45176,42892,160,0.07
50428,49025,160,0.07
39180,37019,160,0.07
41567,40056,160,0.07
47153,47153,160,0.07
38667,36242,160,0.1
44321,41622,160,0.1
35770,33686,160,0.1
49784,49563,160,0.1
48073,46769,160,0.1
45176,42927,160,0.1
50428,46855,160,0.1
39180,37067,160,0.1
47153,47153,160,0.1
41567,39200,160,0.1
44321,40910,160,0.15
38667,35401,160,0.15
48073,46764,160,0.15
49784,49546,160,0.15
45176,41423,160,0.15
35770,32589,160,0.15
50428,45483,160,0.15
39180,35313,160,0.15
47153,47153,160,0.15
41567,39714,160,0.15
38667,34831,160,0.3
44321,40555,160,0.3
48073,44500,160,0.3
35770,31092,160,0.3
49784,49671,160,0.3
45176,40552,160,0.3
50428,44510,160,0.3
47153,47153,160,0.3
39180,35217,160,0.3
41567,37304,160,0.3
38667,38667,320,0.01
44321,44321,320,0.01
49784,49784,320,0.01
35770,35770,320,0.01
48073,48073,320,0.01
50428,50428,320,0.01
45176,45176,320,0.01
39180,39180,320,0.01
47153,47153,320,0.01
44321,43493,320,0.03
38667,38397,320,0.03
41567,41567,320,0.01
49784,49784,320,0.03
48073,48060,320,0.03
50428,50428,320,0.03
39180,38751,320,0.03
35770,35149,320,0.03
45176,45176,320,0.03
41567,41120,320,0.03
47153,47153,320,0.03
38667,37644,320,0.05
44321,42522,320,0.05
48073,47894,320,0.05
49784,49784,320,0.05
45176,43310,320,0.05
35770,34475,320,0.05
50428,49575,320,0.05
47153,47153,320,0.05
39180,37444,320,0.05
41567,41302,320,0.05
44321,41668,320,0.07
38667,36748,320,0.07
48073,47195,320,0.07
35770,33510,320,0.07
49784,49784,320,0.07
50428,48559,320,0.07
45176,42864,320,0.07
39180,36510,320,0.07
41567,39719,320,0.07
47153,47153,320,0.07
38667,36267,320,0.1
44321,40735,320,0.1
49784,49784,320,0.1
48073,46077,320,0.1
35770,33530,320,0.1
50428,46859,320,0.1
45176,42566,320,0.1
47153,47153,320,0.1
39180,37588,320,0.1
44321,42037,320,0.15
38667,35967,320,0.15
41567,39000,320,0.1
48073,45284,320,0.15
49784,49784,320,0.15
35770,32945,320,0.15
45176,41319,320,0.15
50428,45729,320,0.15
39180,36822,320,0.15
47153,47153,320,0.15
41567,38319,320,0.15
38667,34875,320,0.3
48073,46224,320,0.3
44321,39734,320,0.3
49784,49767,320,0.3
35770,31659,320,0.3
45176,39119,320,0.3
50428,43997,320,0.3
47153,47153,320,0.3
39180,37053,320,0.3
41567,38357,320,0.3
38667,38667,640,0.01
48073,48073,640,0.01
44321,43708,640,0.01
35770,34724,640,0.01
49784,49784,640,0.01
45176,45176,640,0.01
50428,50145,640,0.01
39180,38934,640,0.01
47153,47153,640,0.01
41567,41473,640,0.01
38667,38054,640,0.03
44321,43362,640,0.03
48073,47633,640,0.03
49784,49784,640,0.03
35770,34165,640,0.03
47153,47153,640,0.03
45176,44048,640,0.03
50428,49964,640,0.03
39180,37649,640,0.03
38667,37190,640,0.05
41567,40775,640,0.03
44321,42865,640,0.05
48073,47323,640,0.05
49784,49784,640,0.05
35770,34341,640,0.05
50428,48673,640,0.05
45176,43406,640,0.05
47153,47153,640,0.05
39180,37718,640,0.05
38667,37341,640,0.07
41567,40672,640,0.05
44321,42259,640,0.07
48073,47298,640,0.07
49784,49784,640,0.07
35770,32922,640,0.07
45176,41995,640,0.07
50428,47901,640,0.07
39180,36923,640,0.07
47153,47153,640,0.07
38667,35688,640,0.1
41567,39954,640,0.07
44321,41414,640,0.1
48073,46495,640,0.1
45176,43043,640,0.1
35770,32110,640,0.1
50428,47307,640,0.1
49784,49784,640,0.1
47153,47153,640,0.1
39180,35119,640,0.1
41567,38835,640,0.1
44321,39869,640,0.15
48073,46404,640,0.15
38667,34988,640,0.15
49784,49767,640,0.15
35770,32543,640,0.15
45176,41730,640,0.15
50428,44987,640,0.15
39180,34050,640,0.15
41567,37275,640,0.15
47153,47153,640,0.15
38667,35628,640,0.3
44321,39569,640,0.3
48073,46785,640,0.3
35770,31120,640,0.3
45176,40424,640,0.3
50428,45139,640,0.3
49784,49767,640,0.3
39180,33794,640,0.3
41567,37509,640,0.3
47153,47153,640,0.3
38667,38208,1280,0.01
44321,42870,1280,0.01
48073,48060,1280,0.01
35770,33188,1280,0.01
49784,49784,1280,0.01
50428,50247,1280,0.01
45176,43555,1280,0.01
39180,37425,1280,0.01
44321,42756,1280,0.03
41567,40603,1280,0.01
47153,47153,1280,0.01
38667,37168,1280,0.03
48073,47624,1280,0.03
49784,49784,1280,0.03
35770,33755,1280,0.03
45176,42873,1280,0.03
39180,36815,1280,0.03
50428,48603,1280,0.03
47153,47153,1280,0.03
41567,40243,1280,0.03
38667,36208,1280,0.05
44321,41170,1280,0.05
48073,46581,1280,0.05
45176,41732,1280,0.05
35770,32487,1280,0.05
49784,49784,1280,0.05
50428,47566,1280,0.05
47153,47153,1280,0.05
39180,35429,1280,0.05
44321,41143,1280,0.07
41567,40657,1280,0.05
38667,36545,1280,0.07
49784,49784,1280,0.07
48073,46996,1280,0.07
35770,32551,1280,0.07
45176,41042,1280,0.07
50428,47947,1280,0.07
47153,47153,1280,0.07
39180,35454,1280,0.07
38667,35269,1280,0.1
41567,39266,1280,0.07
44321,40454,1280,0.1
48073,47544,1280,0.1
35770,32248,1280,0.1
49784,49767,1280,0.1
45176,42219,1280,0.1
50428,46767,1280,0.1
47153,47153,1280,0.1
39180,36694,1280,0.1
41567,39948,1280,0.1
38667,36092,1280,0.15
44321,40196,1280,0.15
35770,31361,1280,0.15
49784,49784,1280,0.15
48073,46636,1280,0.15
45176,40268,1280,0.15
39180,36466,1280,0.15
47153,47153,1280,0.15
41567,37752,1280,0.15
50428,45249,1280,0.15
38667,34634,1280,0.3
44321,39534,1280,0.3
48073,46479,1280,0.3
35770,30826,1280,0.3
49784,49784,1280,0.3
50428,44412,1280,0.3
45176,39939,1280,0.3
47153,47153,1280,0.3
39180,33949,1280,0.3
41567,37979,1280,0.3
